"user","docid","page","corrupted_text","tableType","location","number","content","qualifiers"
"David","9892586","1","","baseline_table","Col","1","characteristic_level","indented"
"David","9892586","1","","baseline_table","Row","1","measures",""
"David","9892586","1","","baseline_table","Row","2","arms",""
"David","9892586","1","","baseline_table","Col","1","characteristic_name",""
"David","9892586","2","Does not correctly separate table header. Row 1 is the table header. Tried variety of annotations. All failed.","baseline_table","Row","1","outcomes;measures",""
"David","9892586","2","Does not correctly separate table header. Row 1 is the table header. Tried variety of annotations. All failed.","baseline_table","Col","1","characteristic_name",""
"David","9892586","3","Very badly rendered table. Need to do redo excel sheet","result_table_subgroup","Row","1","",""
"David","9892586","3","Very badly rendered table. Need to do redo excel sheet","result_table_subgroup","Row","2","",""
"David","9892586","3","Very badly rendered table. Need to do redo excel sheet","result_table_subgroup","Row","3","measures",""
"David","9892586","3","Very badly rendered table. Need to do redo excel sheet","result_table_subgroup","Row","4","arms;measures",""
"David","9892586","3","Very badly rendered table. Need to do redo excel sheet","result_table_subgroup","Col","1","characteristic_name","empty_row"
"David","9892586","3","Very badly rendered table. Need to do redo excel sheet","result_table_subgroup","Col","1","characteristic_level",""
"Hebe","9892586","4","","result_table_subgroup","Row","1","p-interaction;outcomes",""
"Hebe","9892586","4","","result_table_subgroup","Row","2","arms",""
"Hebe","9892586","4","","result_table_subgroup","Col","1","characteristic_name","empty_row"
"Hebe","9892586","4","","result_table_subgroup","Col","1","characteristic_level","indented"
"Avi","9848888","1","","baseline_table","Row","1","arms",""
"Avi","9848888","1","","baseline_table","Col","1","characteristic_name","empty_row"
"Avi","9848888","1","","baseline_table","Col","1","characteristic_level",""
"Avi","9841303","1","","baseline_table","Row","1","arms",""
"Avi","9841303","1","","baseline_table","Col","1","characteristic_name","empty_row;indented"
"Avi","9841303","1","","baseline_table","Col","1","characteristic_level",""
"Avi","9841303","2","","result_table_subgroup","Row","1","arms",""
"Avi","9841303","2","","result_table_subgroup","Row","2","measures",""
"Avi","9841303","2","","result_table_subgroup","Col","1","characteristic_name","empty_row"
"Avi","9841303","2","","result_table_subgroup","Col","1","characteristic_level",""
"Avi","9164316","1","","baseline_table","Row","1","arms",""
"Avi","9164316","1","","baseline_table","Col","1","characteristic_name","bold"
"Avi","9164316","1","","baseline_table","Col","1","characteristic_level",""
"David","8121459","2","Need to merge rows 2 and 3","result_table_subgroup","Row","1","outcomes",""
"David","8121459","2","Need to merge rows 2 and 3","result_table_subgroup","Row","3","arms;measures",""
"David","8121459","2","Need to merge rows 2 and 3","result_table_subgroup","Col","1","characteristic_name","empty_row"
"David","8121459","2","Need to merge rows 2 and 3","result_table_subgroup","Col","1","characteristic_level",""
"David","8121459","2","Need to merge rows 2 and 3","result_table_subgroup","Row","2","other",""
"Elaine","30882239","1","","baseline_table","Col","1","characteristic_level;characteristic_name",""
"Elaine","30882239","1","","baseline_table","Col","1","characteristic_name","empty_row"
"Elaine","30882239","1","","baseline_table","Col","1","characteristic_level","indented"
"Elaine","30882239","1","","baseline_table","Row","1","characteristic_level;measures;characteristic_name",""
"Elaine","30882239","2","Wrong title from data, same paper but this data is from figure 3B, not 1. Row 1 was incorrectly CV death/HHF changed to MACE which is correct match for this data. Also not working, unclear why.","result_table_subgroup","Col","1","measures;characteristic_name",""
"Elaine","30882239","2","Wrong title from data, same paper but this data is from figure 3B, not 1. Row 1 was incorrectly CV death/HHF changed to MACE which is correct match for this data. Also not working, unclear why.","result_table_subgroup","Row","1","outcomes",""
"Elaine","30882239","3","This data has the wrong title. From the same paper but this is the data from Figure 3B not 2.","result_table_subgroup","Col","1","measures;characteristic_level;characteristic_name",""
"Elaine","30882239","3","This data has the wrong title. From the same paper but this is the data from Figure 3B not 2.","result_table_subgroup","Row","1","outcomes",""
"Elaine","30882239","4","Wrong title, same paper but this is the data from figure 2A, not 3.","result_table_subgroup","Col","1","measures;characteristic_level;characteristic_name",""
"Elaine","30882239","4","Wrong title, same paper but this is the data from figure 2A, not 3.","result_table_subgroup","Row","1","outcomes",""
"Elaine","30882239","5","","result_table_subgroup","Col","1","characteristic_level;characteristic_name;measures",""
"Elaine","30882239","5","","result_table_subgroup","Row","1","outcomes",""
"Elaine","30882238","2","Not working, tried editing format, unable to get working.","result_table_subgroup","Col","1","outcomes","empty_row"
"Elaine","30882238","2","Not working, tried editing format, unable to get working.","result_table_subgroup","Row","1","arms",""
