CUI,preferred,hasMSH
C0018801,Heart failure,true
C0456387,Class,false
C1261077,Structure of left lower lobe of lung,false
C1518526,Object Class,false
C1705943,Class (taxonomic),false
C0018802,Congestive heart failure,true
C4554158,Heart Failure, CTCAE,false
C0449238,Duration (temporal concept),false
C0020538,Hypertensive disease,true
C1963138,Hypertension, CTCAE,false
C2926735,Duration,false
C1320657,Diabetes type,false
C2930696,tofacitinib,true
C0024671,Mammography,true
C0026410,Mongolia,true
C0439269,mg/dL,false
C1960952,Milligram percent,false
C2346927,Magnesium Cation,false
C4321396,MG,false
C4521761,United States Military Commissioned Officer O8,false
C0023822,High Density Lipoprotein Cholesterol,true
C0444504,Statistical mean,false
C2699239,SD, Rat Strain,false
C2347634,Population Mean,false
C2348143,Sample Mean,false
C0205374,Transitory,false
C0457454,Discontinuation (procedure),false
C0013175,Drug Evaluation,true
C1444662,Discontinued,false
C4552847,Clinical Trial Discontinuation,false
C1548539,Job Status - Temporary,false
C3245481,EntityNameUseR2 <temporary>,false
C0011065,Cessation of life,true
C3810814,Myocardial Infarction ECG Assessment,false
C0036056,Saint Lucia,true
C3272372,Character String Data Type,false
C1306577,Death (finding),false
C4082313,Death Adverse Event Not Associated with More Specific CTCAE Term NOS,false
C4552775,Death NOS, CTCAE,false
C0034510,Racial group,true
C1706779,AMACR wt Allele,false
C3853635,Race,false
C4081854,High intensity,false
C0332152,Before,false
C1532338,Percutaneous Coronary Intervention,true
C2826257,Prior Medication Usage,false
C0034656,Randomization,true
C4049621,Peritoneal Cancer Index,false
C0740175,Before values,false
C2257086,photoreactivating enzyme activity,false
C3669034,Pure Spanish horse breed (organism),false
C0369773,P Blood group antibodies,false
C1079230,Subgroup A Nepoviruses,false
C1515021,Subgroup,false
C2603361,P prime,false
C1831808,apixaban,true
C0013227,Pharmaceutical Preparations,true
C3244316,medication - HL7 publishing domain,false
C4284232,Medications,false
C0205436,second (number),false
C0457385,seconds,false
C0565930,per second,false
C1561503,Precision - second,false
C1705190,Second Suffix,false
C0038525,Subarachnoid Hemorrhage,true
C0439175,% of total,false
C0677898,invasive cancer,false
C0439810,Total,false
C0205178,acute,false
C3897493,Stent Thrombosis,false
