cluster,concept,cuis
195,nmbr - h pmg ( mg / dl ),C0033727;C0053917;C0369286;C0439269;C0441932;C0564385;C1334884;C4528284
195,baseline nmbr - h ppg ,C0033727;C0053917;C0168634;C0369286;C0441932;C0564385;C1334884;C1418888;C1442488;C4528284
195,after nmbr h,C0033727;C0053917;C0369286;C0441932;C0564385;C1334884;C4528284
194,pulmonary embolism ± deep vein thrombosis,C0034065;C0149871;C0226514;C0852030
194,pulmonary embolism,C0034065
194,metabolic syndrome characteristics  n ( % ),C0524620;C1521970
194,medical characteristics,C0199168;C0205476;C1521970
194,isolated pulmonary embolism,C0034065;C0205409;C1548221
194,infarct characteristics,C0021308;C1521970
194,characteristics of pulmonary embolism at inclusion,C0034065;C1521970
193,cholesterol absorption inhibitor ( ezetimibe ),C0000854;C0003277;C1142985;C1999216;C2347023;C2347080;C2698776;C2825050;C2945742
192,st - segment elevation mi,C0520886;C3810814
192,st - elevation mi,C0520886;C3810814
192,ml without st - segment elevation !,C0439526;C0520886;C1705224;C3887665
192,mi or cad,C3810814
192,large mi,C0549177;C3810814
191,previous hf hospitalization  n ( % ),C0018488;C0019993;C0205156;C1313497;C1538440;C1552607;C3273279
191,no prior hf hospitalization ( n = nmbr  nmbr ),C0018488;C0019993;C0053917;C0332152;C1313497;C1334884;C1538440;C2826257;C3273279
191,hosp . for hf,C0018488;C1313497;C1538440;C3273279
191,all ~ cause mort / hf hosp .,C0015127;C0018488;C1313497;C1524003;C1538440;C3273279;C3815322
190,salmeterol - fluticasone group,C0441833;C0687744;C0939232;C1257890;C1519504;C1705428;C1705429
190,low - dose rivaroxaban + aspirin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429;C1739768;C2608320
190,ivabradine group,C0257190;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
190,group — no . ( % ),C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
190,aspirin group,C0004057;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
189,nmbr . nmbr - nmbr . nmbr ml / min / nmbr . nmbr mnmbr,C0053917;C0439445;C1334884
189,gfr ( mdrd ) ( ml / min / nmbr - nmbr mnmbr ),C0017654;C0053917;C0439445;C1334884;C1424601;C3839656
189,estimated glomerular filtration rate < nmbr ml / min / nmbr . nmbr mnmbr : i : §,C0021966;C0023806;C0053917;C0221138;C0439445;C0702093;C1334884;C1524029;C3811844;C3813700
189,estimated glomerular filtration rate ( mdrd )  ml / min / nmbr . nmbrmnmbr,C0053917;C0439445;C1334884;C3811844;C3839656
189,estimated creatinine clearance < nmbr ml / min *,C0053917;C0439445;C0750572;C0812399;C1334884
189,egfrmdrd < nmbr ml - min - nmbr - nmbr . nmbr m - nmbr  n ( % ),C0053917;C0369637;C0439445;C0441923;C1334884
189,creatinine clearance ， : : nmbr ml / min  %,C0053917;C0439445;C0812399;C1334884
189,crcl at baseline < nmbr ml / min,C0053917;C0168634;C0439445;C1334884;C1442488;C1846718
189,< nmbr ml / min / nmbr . nmbr mnmbr — no . ( % ),C0053917;C0439445;C1334884
188,location of ml,C0439526;C0450429;C1515974;C1705224;C3887665;C4284930;C4284931
188,location of crohn ' s disease  %,C0010346;C0450429;C1515974;C4284930;C4284931
188,disease location / type : terminal ileum,C0227327;C0450429;C0457464;C1515974;C4284930;C4284931
187,very high risk,C0035647;C0332167;C0442804;C0442824;C2984081;C3272283;C4050568;C4319571;C4321397;C4552904
186,ff / vi nmbr / nmbr pg od,C0030827;C0053917;C0072225;C0205999;C0229089;C0439164;C1266240;C1334884;C1512019;C3273373;C3665488;C4554348
185,vascular intervention,C0005847;C0184661;C0886296;C1273869;C1558950;C1801960
185,proactive intervention ( n = nmbra ),C0184661;C0886296;C1273869
185,prior carotid intervention,C0184661;C0332152;C0741968;C0886296;C1273869;C2826257
185,multivessel intervention  n ( % ),C0184661;C0886296;C1273869
185,intervention group ( n = nmbr ),C0053917;C0184661;C0441848;C0886296;C1273869;C1334884
184,western europe / australia / israel,C0004340;C0015176;C0022271;C0043128;C0043129
184,visits nmbrenmbr,C0545082;C1512346
184,unbound pcsknmbr ( nmol / l ),C0439282
184,uacra  mg / g  n ( % ),C1300563
184,timing of clopidogrel loading dose,C0070166;C0449243;C1704250;C3714444
184,sf - nmbrvnmbr domain scores  mean [sd],C0037712;C1880389;C1883221;C3541951
184,right ventriculardysfunction atinclusion,C0205090;C0444532
184,rheumatic heart disease,C0035439
184,resection performed  %,C0015252;C0728940
184,radial access,C0442038;C0444454;C0920847;C1554204
184,prior lipid - modifying therapy,C0023779;C0392747;C1514463
184,pdenmbr inhibitor monotherapy,C1999216
184,odds ratio,C0028873
184,nmbrth - nmbrth percentiles,C1264641
184,left ventricular hypertrophy ( % ),C0149721;C3484363
184,interval clopidogrel to pci,C0070166;C1272706;C1552654;C1552713;C4049621
184,int . p *,C3272375
184,glucose - lowering therapies,C0017725;C0087111;C0441994;C2003888
184,exenatide,C0167117
184,efficacy and safety : net adverse clinical events *,C1280519;C1707887
184,current drinker,C0556297
184,crohn ' s disease,C0010346
184,clopidogrel no . of patients % ),C0070166
184,clopidogrel / ticlopidine,C0040207;C0070166
184,clopidogrel  ticlopidine  or prasugrel,C0040207;C0070166
184,clopidogrel  %,C0070166
184,chronic obstructive pulmonary disease  n ( % ),C0024117
184,blood pressure  mean ( sd ) [range]  mm hg,C0428886;C0439475;C1514721;C2348147;C2699239;C3542016
184,bare metal stent  n ( % ),C2825200
184,aldosterone inhibitor,C0002007
183,copd assessment test ( cat ) score,C0007450;C0325090;C0449820;C0524517;C1443200;C3665481;C4050231;C4050461;C4284282
183,cat total score,C0007450;C0325090;C0524517;C1443200;C2964552;C3665481;C4050461;C4284282
182,daily insulin dose  mean ( sd )  iu,C0021641;C0049272;C0332173;C0366513;C0439453;C0444504;C0694756;C1533581;C1579433;C2347634;C2348070;C2348143;C2699239;C3714501
181,white : black : other,C0005680;C0007457;C0027567;C0043157;C0085756;C0220938;C0439541
181,white / european,C0007457;C0043157;C0220938;C0239307;C1535514
181,white  n ( % ),C0007457;C0043157;C0220938
181,caucasian simva,C0007457;C0043157
180,history of microvascular eye disease 本  n ( % ),C0015392;C0015397;C0019664;C0019665;C0262512;C0262926;C0443258;C0683519;C0700042;C0730226;C0850708;C0944983;C1705255;C2004062
180,history of bone disease ( predefined )  n ( % ),C0005940;C0019664;C0019665;C0262512;C0262926;C0262950;C0683519;C0730226;C0850708;C0944983;C1705255;C2004062
179,postmenopausal  current hormone,C0019932;C0232970;C0521116;C1705970;C4521914
179,history of currently treated hypertension  n ( % ),C0455527;C0521116;C1522326
179,current tobacco abuse  n ( % ),C0040336;C0521116;C1705970
179,current or previous atrial fibrillation,C0521116;C1705970
179,current / past,C0521116;C1444637;C1705970;C4284302
178,total study population ( n = nmbr  nmbr ),C0053917;C0439175;C0439810;C0557651;C1334884;C2348561;C2603343;C3258257
178,total patients n = nmbr,C0030705;C0053917;C0439175;C0439810;C1334884
178,total n = nmbr n ( % ),C0053917;C0439175;C0439810;C1334884
178,total haq  nmbr - nmbr,C0053917;C0102923;C0439175;C0439810;C0451208;C1334884
178,total group ( n = nmbr ),C0053917;C0439175;C0439810;C0441848;C1334884
178,men  total ( n 二 nmbr ),C0025266;C0053917;C0439175;C0439810;C1334884
177,urine albumin - to - creatinine ratio - no . ( % ) § §,C0455271;C1318330
177,urine albumin - to - creatinine ratio,C0455271;C1318330
177,urinary albumin - to - creatinine ratio^,C0455271;C1318330
176,who / idf ifg,C1334085;C1708411
176,tendonitis,C0039503
176,smoking history — no . ( % ),C1519384
176,proctosigmoiditis,C0033252
176,previous disease :,C0012634;C0205156;C1552607
