cluster,concept,cuis
1399,enzyme inducing,C0014442;C4521602
1399,non - enzyme inducing,C0014442;C1518422;C4521602
1398,dual ii - end of trial hbanmbrc,C0008976;C0019016;C0205173;C0444930;C0444967;C1554184;C1825777;C2746065;C3538758
1398,dual iv - end of trial hbanmbrc,C0008976;C0019016;C0205173;C0444930;C0444972;C1554184;C1825777;C2746065;C3538758
1397,hdlc - concentration,C0086045;C1446561;C1704429;C3827302
1397,non - hdlc concentration,C0086045;C1446561;C1518422;C1704429;C3827302
1396,air insulin - insulin glargine - air insulin / insulin glargine,C0001861;C0907402;C3536832
1396,insulin glargine - air insulin / insulin glargine,C0001861;C0907402;C3536832
1396,air insulin - air insulin / insulin glargine,C0001861;C0907402;C3536832
1395,placebo - famotidine nmbr,C0015620;C0032042;C1696465;C1706408
1395,placebo - famotidine nmbr - famotidine nmbr,C0015620;C0032042;C1696465;C1706408
1394,febuxostat - febuxostat / lesinurad nmbr - febuxostat / lesinurad nmbr,C0249529;C3886073
1394,febuxostat - febuxostat / lesinurad nmbr,C0249529;C3886073
1393,placebo - vonoprazan nmbr,C0032042;C1696465;C1706408;C4080009
1393,placebo - vonoprazan nmbr - vonoprazan nmbr,C0032042;C1696465;C1706408;C4080009
1392,zoledronic acid ( n = nmbr ),C0257685
1392,zoledronic acid,C0257685
1391,white tcz + mtx ( n ),C0007457;C0025677;C0043157;C0220938;C1417487
1391,white mtx ( n ),C0007457;C0025677;C0043157;C0220938;C1417487
1390,week nmbr czp dose combined ( n   =   nmbr ),C0054841;C0178602;C0332174;C0439230;C0869039;C1114758;C1861828;C1872109
1390,week nmbr czp dose combined,C0054841;C0178602;C0332174;C0439230;C0869039;C1114758;C1861828;C1872109
1389,walk for exercise ( % ),C0015259;C0080331;C1522704
1389,walk for exercise,C0015259;C0080331;C1522704
1388,voiding subscore,C0042034;C4067975
1388,voided volume,C0042034;C0449468;C1552835;C1690016;C1705102;C2700258
1387,vascular risk score |,C0005847;C0035647;C0449820;C1558950;C1801960;C4050231;C4552904
1387,vascular risk score *,C0005847;C0035647;C0449820;C1558950;C1801960;C4050231;C4552904
1387,vascular risk score — no . { % ) ^,C0005847;C0035647;C1558950;C1801960;C4552904
1386,valve replacement / repair with or without cabg,C0035139;C0043240;C0184252;C0374711;C0559956;C1186983;C1555302;C1704414;C3888056;C4319951;C4553149
1386,valve repair / replacement only,C0035139;C0043240;C0184252;C0205171;C0374711;C0559956;C1186983;C1555302;C1704414;C1720467;C3888056;C4319951;C4553149
1386,valve repair / replacement with or without cabg,C0035139;C0043240;C0184252;C0374711;C0559956;C1186983;C1555302;C1704414;C3888056;C4319951;C4553149
1385,ustekinumab ® ( n = nmbr ),C1608841
1385,ustekinumab,C1608841
1385,ustekinumab ' ’ ( n = nmbr ),C1608841
1385,ustekinumab combined,C1608841
1384,verapamil ( n,C0042523
1384,use of verapamil or quinidine,C0042523;C1524063
1383,weekly size of largest hives score {,C0042109;C0332174;C0443228;C0456389
1383,weekly number of hives scorenmbr,C0042109;C0237753;C0332174;C0449788
1383,weekly number of hives score {,C0042109;C0237753;C0332174;C0449788
1383,urticaria,C0042109;C1559188
1382,upa nmbr mg qd,C0024671;C0026410;C0042071;C0332173;C0439269;C1706177;C1960952;C2346927;C4321396;C4521761
1382,upa nmbrmg qd,C0024671;C0026410;C0042071;C0332173;C0439269;C1706177;C1960952;C2346927;C4321396;C4521761
1381,trandolapril ( n = nmbr ),C0076891
1381,trandolapril,C0076891
1380,total bleeds,C0232100
1380,total bleeding,C0232100
1379,total bilirubin,C0005437;C0368753
1379,total bilirubin > nmbr x ulnnmbr,C0005437;C0368753;C1519815
1378,topical prescription,C0033080;C0332237;C1521941
1378,topical non - prescription,C0033080;C0332237;C1518422;C1521941
1377,tolvaptan,C1176308
1377,tolvaptan ( n = nmbr ),C1176308
1376,tj ( nmbr % ),C0039247
1376,tj ( nmbr - nmbr ),C0039247
1375,tiotropium nmbr . nmbr pg,C0030827;C0072225;C0213771;C1266240
1375,tiotropium nmbr pg,C0030827;C0072225;C0213771;C1266240
1374,time from index acs event to randomisation ( days ),C0040223;C0441471;C0600653;C0742343;C0918012;C1552854;C1637833;C2986546;C3541383;C4019010;C4318612
1374,time between index acs and randomization — days,C0040223;C0600653;C0742343;C0918012;C1552854;C1637833;C2986546;C3541383;C4318612
1374,time between index acs and randomization ( days ),C0040223;C0600653;C0742343;C0918012;C1552854;C1637833;C2986546;C3541383;C4318612
1373,teriparatide ( n   =   nmbr ),C0070093
1373,teriparatide n / n ( % ),C0070093
1372,tanezumab nmbr . nmbr mg + nsaid,C0003211;C0024671;C0026410;C0439269;C1960952;C2346819;C2346927;C3536840;C4321396;C4521761
1372,tanezumab nmbr mg + nsaid,C0003211;C0024671;C0026410;C0439269;C1960952;C2346819;C2346927;C3536840;C4321396;C4521761
1371,tanezumab nmbr . nmbr mg,C0024671;C0026410;C0439269;C1960952;C2346819;C2346927;C4321396;C4521761
1371,tanezumab nmbr mg,C0024671;C0026410;C0439269;C1960952;C2346819;C2346927;C4321396;C4521761
1370,tanezumab ( all doses combined ) + nsaida,C2346819
1370,tanezumab ( all doses combined ),C2346819
1369,tamsulosin nmbr . nmbrmg vs . nmbr . nmbrmg,C0024671;C0026410;C0257343;C0439269;C1960952;C2346927;C4321396;C4521761
1369,tamsulosin nmbr . nmbr mg vs . placebo,C0024671;C0026410;C0257343;C0439269;C1960952;C2346927;C4321396;C4521761
1369,tamsulosin nmbr . nmbr mg ( n = nmbr ),C0024671;C0026410;C0257343;C0439269;C1960952;C2346927;C4321396;C4521761
1368,tamsulosin ( w = nmbr ),C0257343
1368,with tamsulosin,C0257343
1368,tamsulosin ( n = nmbr ),C0257343
1368,tamsulosin,C0257343
1368,without tamsulosin,C0257343
1367,tadalafil nmbr mg mean change ( sd ),C0024671;C0026410;C0392747;C0439269;C0443172;C0444504;C1176316;C1705241;C1960952;C2346927;C2347634;C2348143;C2699239;C4319952;C4321396;C4521761
1367,tadalafil nmbr . nmbr mg,C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761
1367,tadalafil nmbr mg ( n = nmbr ),C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761
1367,tadalafil nmbr mg,C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761
1367,tadalafil nmbr . nmbr mg n = nmbr,C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761
1367,tadalafil nmbr . nmbr mg ( n = nmbr ),C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761
1367,tadalafil nmbr mg n = nmbr,C0024671;C0026410;C0439269;C1176316;C1960952;C2346927;C4321396;C4521761
1366,table nmbr . characteristics of patients treated with losartan and atenolol *,C0039224;C0815172;C1706074
1366,table nmbr . characteristics of the patients at baseline . *,C0039224;C0815172;C1706074
1366,table nmbr . selected baseline characteristics of the study patients . *,C0039224;C1706074
1365,ta,C0039297;C1506978;C1705538;C3272501;C4553364
1365,ta ( n = nmbr ),C0039297;C1506978;C1705538;C3272501;C4553364
1364,symptomatic hypotension with sbp < nmbr mm   hg,C0020649;C0085805;C0231220;C0439475;C3163620
1364,symptomatic hypotension ( sbp < nmbr mmhg ),C0020649;C0085805;C0231220;C0439475;C3163620
1363,table nmbr baseline characteristics of total study sample and stratified by treatment assignment and testosterone levela,C0039224;C0168634;C0370003;C0947343;C1315074;C1442488;C1706074;C2347026;C4684572
1363,supplementary table nmbr . change from baseline in urine albumin - to - creatinine ratio by hbanmbrc at baseline in patients with normoalbuminuria microalbuminuria and macroalbuminuria .,C0039224;C0168634;C0392747;C0443172;C1442488;C1705241;C1706074;C4319952
