terms
heart failure ( class l - lll ),C0018801;C0456387;C1261077;C1518526;C1705943;C0018802;C4554158,true;false;false;false;false;true;false,0/22402
duration of hypertension  n ( % ),C0449238;C0020538;C1963138;C2926735,false;true;false;false,1/22402
type $nmbr$ diabetes 一 no . ( % ),C1320657,false,2/22402
tofacitinib $nmbr$ mg bid [ n = $nmbr$ |,C2930696;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761,true;true;true;false;false;false;false;false,3/22402
high - density lipoprotein cholesterol mean ( mg / dl ± sd ),C0023822;C0444504;C0439269;C2699239;C2347634;C2348143,true;false;false;false;false;false,4/22402
temporary discontinuation of study drug,C0205374;C0457454;C0013175;C1444662;C4552847;C1548539;C3245481,false;false;true;false;false;false;false,5/22402
death  mi  idr  st  or any timi bleeding,C0011065;C3810814;C0036056;C3272372;C1306577;C4082313;C4552775;C0019080,true;false;true;false;false;false;false;true,6/22402
race and ss at baseline,C0034510;C1706779;C3853635;C2699257;C0168634;C1442488;C3891295;C4551874,true;false;false;false;true;false;false;false,7/22402
high intensity,C4081854,false,8/22402
prior percutaneous coronary intervention  n ( % ),C0332152;C1532338;C2826257,false;true;false,9/22402
pre - randomization pci,C0332152;C0034656;C4049621;C0740175;C2257086;C3669034,false;true;false;false;false;false,10/22402
p  subgroup *,C0369773;C1079230;C1515021;C2603361,false;false;false;false,11/22402
hosji fcrhypoglycemia,,,12/22402
apixaban vs . placebo,C1831808;C0032042;C1696465;C1706408,true;true;false;false,13/22402
medication use — no . ( % ),C0013227;C3244316;C4284232;C0042153;C0457083;C1947944,true;false;false;true;false;false,14/22402
second prior mi,C0205436;C0332152;C3810814;C2826257;C0457385;C0565930;C1561503;C1705190,false;false;false;false;false;false;false;false,15/22402
subarachnoid hemorrhage,C0038525,true,16/22402
total invasive cancer,C0439175;C0677898;C0439810,false;false;false,17/22402
acute stent thrombosis,C0205178;C3897493,false;false,18/22402
alteplase ( n = $nmbr$ ),C0032143,true,19/22402
relative decrease > $nmbr$ %,C0080103;C0392756;C0547047;C0205345;C1547039,true;false;false;false;false,20/22402
$nmbr$ th - $nmbr$ th percentiles,C0039725;C1264641;C0039738;C1420718;C4282123;C4285344,true;false;true;false;false;false,21/22402
number of ( % ) females,C0237753;C0086287;C0449788,false;true;false,22/22402
emphysema ( % ),C0013990;C0034067,true;true,23/22402
argentina,C0003761;C1504311,true;false,24/22402
ccq score § §,C0449820;C4050231,false;false,25/22402
vents / patients,C0030705,true,26/22402
number of patients with,C2360800,false,27/22402
concomitant mtx —,C0521115;C0025677;C1417487,false;true;false,28/22402
europe / lsrael,C0015176,true,29/22402
thromboaspiration — no . ( % ),,,30/22402
cardiac - biomarker status — no . / total no . ( % ) $,C1999091;C0005516;C2735302;C1271630;C0449438;C0018787;C0449442;C1522601;C0439175;C0439810,false;true;false;false;false;true;false;false;false;false,31/22402
receiving insulin therapy,C1514756;C0021641;C0039798;C0087111;C1363945;C1533581;C1579433;C3714501,false;true;true;true;false;false;false;false,32/22402
pulmonary embolism ± deep vein thrombosis,C0852030;C0226514;C0034065;C0149871,false;false;true;true,33/22402
abdominal or perianal fistula at baseline  n ( % ),C0000726;C0267561;C0168634;C1442488,true;false;true;false,34/22402
cyclosporine ( n = $nmbr$ ),C0010592;C0010594,true;true,35/22402
geographic region - europe,C0017446;C0015176,true;true,36/22402
indian ( indian subcontinent ),C0454693,false,37/22402
percutaneous coronary intervention,C1532338,true,38/22402
antiplatelet or anticoagulant therapy,C0150457,false,39/22402
