cluster,concept,cuis
806,no ascvd + additional cv risk factors  n ( % ),C0035648;C1524062;C1553898;C3538987;C3665365;C4048877;C4318503
806,cv risk factor - no . ( % ),C0035648;C3538987;C4048877;C4318503
806,cv risk factor,C0035648;C3538987;C4048877;C4318503
805,aspirin use ( > nmbr mg ),C0004057;C0024671;C0026410;C0042153;C0053917;C0439269;C0457083;C1334884;C1947944;C1960952;C2346927;C4321396;C4521761
804,medically important infectionsa,C3898777;C4084912
803,qualifying hbanmbrc ( % ),C1514624
802,time of symptom onset to randomization ( hrs ),C1320528
801,coexisting conditions,C0679225
800,toast classification of qualifying stroke,C0038454;C1514624;C1710306;C4521230;C4554100
800,stroke or tia — no . ( % ),C0038454;C4554100
800,stroke or pvd  ( % ),C0038454;C4554100
800,stroke ( vs tia ),C0038454;C4554100
800,prior stroke or transient ischemic attack,C0038454;C0332152;C2826257;C4554100
800,previous stroke ortransient ischaemic attack ( % ),C0038454;C0205156;C0745413;C1552607;C4554100
799,type of event — no . ( % ),C1561488
799,qualifying nstemi  n ( % ),C1514624;C3537184;C4255010
798,serum potassium — mmol / liter,C0302353;C0439190;C0475211;C0543465
798,pulmonary function tests  % of predicted,C0024119;C0681842;C1882327;C2598152
797,chanmbrdsnmbr - vasc score ( median  iqr ),C0449820;C0549183;C0876920;C2347635;C2348144;C2939193;C4050231
796,cholesterol absorption inhibitor ( ezetimibe ),C0000854;C0003277;C1142985;C1999216;C2347023;C2347080;C2698776;C2825050;C2945742
795,preoperative heart rate ( beats per minute ),C0018810;C0445204
795,heart rate ( b . p . m . )  mean ± sd,C0018810;C0369637;C0441923;C0444504;C2347634;C2348143;C2699239
795,heart rate  mean ± sd ( b . p . m . ),C0018810;C0369637;C0441923;C0444504;C2347634;C2348143;C2699239
795,baseline heart rate,C0018810;C0168634;C1442488
794,previous oral glucose - lowering agents  % of patients,C0205156;C0441994;C0600419;C1552607;C1955477;C2003888
794,presence of dactylitis  n ( % ),C0150312;C0239161;C0392148;C3854307
793,st - segment elevation mi,C0520886;C3810814
793,paclitaxel - eluting,C0144576
792,alcohol use ( > nmbr drink / wk ),C0001948;C0042153;C0053917;C0332174;C0439230;C0452428;C0457083;C0556297;C1334884;C1947944
791,previous hf hospitalization  n ( % ),C0018488;C0019993;C0205156;C1313497;C1538440;C1552607;C3273279
791,no prior hf hospitalization ( n = nmbr  nmbr ),C0018488;C0019993;C0053917;C0332152;C1313497;C1334884;C1538440;C2826257;C3273279
791,hosp . for hf,C0018488;C1313497;C1538440;C3273279
791,history of chronic hf,C0018488;C0019664;C0019665;C0205191;C0262512;C0262926;C1313497;C1538440;C1705255;C2004062;C3273279
791,all ~ cause mort / hf hosp .,C0015127;C0018488;C1313497;C1524003;C1538440;C3273279;C3815322
790,lipid - lowering therapy,C0585943
789,prior failure of anti - tnf therapy — no . ( % ),C0231174;C0281481;C0332152;C0680095;C2826257
788,salmeterol - fluticasone group,C0441833;C0687744;C0939232;C1257890;C1519504;C1705428;C1705429
788,low - dose rivaroxaban + aspirin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429;C1739768;C2608320
788,joint damage outcomes ( mitt population ),C0010957;C0022417;C0032659;C0392905;C1257890;C1274040;C1706309;C1883709
788,ivabradine group,C0257190;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
788,group — no . ( % ),C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
788,aspirin group,C0004057;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
787,history of peripheral vascular disease,C1881056
786,past or current angina pectoris,C1444637;C4284302
785,gender  women n  % ),C0043210;C0079399;C1522384
785,gender  % of patients,C0030705;C0079399;C1522384
785,eze / simva gender,C0079399;C1522384
784,vascular territory # nmbr,C0005847;C0053917;C1301808;C1334884;C1558950;C1801960;C2983136
784,nmbr vessels or left main,C0005847;C0053917;C1334884
783,demographic characteristics,C0683970
782,difference ( a ) vs placebo ( nmbr % cl ),C1705241;C1705242
781,fevnmbr % reversibility,C0449261
780,primary prevention subgroup,C0033144;C1079230;C1515021
780,disease duration  median ( range ) years,C0439234;C0549183;C0872146;C0876920;C1514721;C2347635;C2348144;C2348147;C2939193;C3542016
779,o total randomized,C0439175;C0439810;C0483204
778,laba / lama,C0999593;C1416775
778,genotyping,C1285573
777,ff / vi nmbr / nmbr pg od,C0030827;C0053917;C0072225;C0205999;C0229089;C0439164;C1266240;C1334884;C1512019;C3273373;C3665488;C4554348
776,unknown,C0439673;C3541433;C4050014
775,vitamin k antagonist ( e . g . warfarin / coumarol ),C1096489;C2267235
774,p value for adjusted hr,C0456081;C1709380
773,duration of study - drug infusion,C0392877;C0449238;C0557651;C2603343;C2926735
772,haemodynamics and lv function,C0019010;C4281788
771,primary end point kaplan - meier rate  %,C0871208;C1521828;C2986535
771,lower - limb arterial — no . ( % ),C0023216
770,sex : male ( n = nmbr ),C0053917;C0086582;C1334884
770,sex  n ( % ) male,C0086582
770,male sex — no . ( % ) race — no . ( % ) ) :,C0086582
769,active or previous cancer,C0205177;C3853793;C3888249
768,dual antiplatelet,C0205173;C1554184
767,fatal and nonfatal stroke,C1302234;C1705232
766,procedure,C0184661;C2700391;C3274430;C3539779
766,proactive intervention ( n = nmbra ),C0184661;C0886296;C1273869
766,prior carotid intervention,C0184661;C0332152;C0741968;C0886296;C1273869;C2826257
766,peak procedural act — sec,C0025664;C0184661;C0444505;C2700391;C3274430;C3538935;C3539779
766,multivessel intervention  n ( % ),C0184661;C0886296;C1273869
765,duration of tnmbrdm  y,C0449238;C2926735
765,active a,C0205177;C3853793;C3888249
764,responders of three - item end point at nmbr weeks *,C0205449;C1551338;C2349179;C2826544;C4554251
763,copd assessment test ( cat ) score,C0007450;C0325090;C0449820;C0524517;C1443200;C3665481;C4050231;C4050461;C4284282
763,cat total score,C0007450;C0325090;C0524517;C1443200;C2964552;C3665481;C4050461;C4284282
762,mean age ( years ) race,C0444504;C1510829;C2347634;C2348143
762,free fatty acids ( mmol / l ),C0015688;C1532563
761,ccv history / condition,C0683519
760,stroke risk score,C0449820;C1277291;C4050231
759,rivaroxaban + aspirin,C0004057;C1739768
759,randomized to aspirin use,C0004057;C0034656;C0042153;C0457083;C1947944;C3815594
759,initial aspirin — no . ( % ),C0004057;C0205265;C1279901;C1555582;C1705685
759,aspirin but no ppi,C0004057
759,aspirin at last follow - up,C0004057;C0589120;C1522577;C1704685;C3274571
759,aspirin and ppi,C0004057
759,aspirin and other antiplatelet,C0004057
759,aspirin / other antiplatelet agents  n ( % ),C0004057
759,aspirin / antiplatelet,C0004057
758,white / european,C0007457;C0043157;C0220938;C0239307;C1535514
758,white  n ( % ),C0007457;C0043157;C0220938
758,caucasian simva,C0007457;C0043157
758,caucasian ethnicity,C0007457;C0015031;C0043157;C0243103
757,type of des,C0011702;C0332307;C1547052;C4551552
757,des ( % previous stenting ),C0011702;C0038257;C0205156;C1552607;C2348535;C4551552
756,oral aminosalicylates,C0368663;C0442027;C4521986
755,history of microvascular eye disease 本  n ( % ),C0015392;C0015397;C0019664;C0019665;C0262512;C0262926;C0443258;C0683519;C0700042;C0730226;C0850708;C0944983;C1705255;C2004062
754,stiffness subscale,C0427008
753,received an oral aha within nmbr weeks prior to screening,C1514756
752,thrombocytopenia,C0040034;C0392386
752,profound thrombocytopenia ( < nmbrxnmbr / l ),C0040034;C0392386;C0439808
752,moderate thrombocytopenia ( < nmbrxnmbr / l ),C0040034;C0205081;C0392386;C1881878;C4049705;C4049706;C4085643;C4321335
751,musculoskeletal,C0497254;C2707260
750,duration of disease  years,C0439234;C0872146
749,current drinker,C0556297
748,native coronary - artery lesions,C0205042;C0221198;C0302891
747,week nmbr ( geometric mean  cv ),C0053917;C0332174;C0439230;C1334884;C2986759;C3538987;C4048877;C4318503
747,timi risk score nmbr - nmbr,C0035647;C0053917;C0449820;C1334884;C4050231;C4552904
747,framingham nmbr - year cv risk score,C0035647;C0053917;C0439234;C0439508;C0449820;C1334884;C3166866;C3538987;C4048877;C4050231;C4318503;C4552904
747,> nmbr additional cv risk factorsnmbr,C0035647;C0053917;C1334884;C1524062;C3538987;C4048877;C4318503;C4552904
746,perianal or anus,C0442158
745,angiotensin - converting enzyme or angiotensin receptor blocker,C0022709;C1452534
744,liraglutide nmbr . nmbr mg / day ( n = nmbr ),C0053917;C0439422;C1334884;C1456408
