nct_id;mesh_broad_label;pmid
NCT00031837;Embolism and Thrombosis;NA
NCT00045955;Lung Diseases, Obstructive;NA
NCT00048581;Arthritis;18402714
NCT00048581;Arthritis;99999999
NCT00048581;Arthritis;29329602
NCT00062582;Lung Diseases, Obstructive;NA
NCT00071266;Intermittent Claudication;NA
NCT00093886;Hypertension;18806012
NCT00095082;Diabetes Mellitus, Type 1;19922879
NCT00096954;Lung Diseases, Obstructive;NA
NCT00097357;Embolism and Thrombosis;NA
NCT00097357;Embolism and Thrombosis;NA
NCT00100620;Osteoporosis;23365149
NCT00100620;Osteoporosis;21037195
NCT00100620;Osteoporosis;19362675
NCT00138515;Diabetes Mellitus, Type 2;20518805
NCT00153660;Arthritis;NA
NCT00165737;Dementia;NA
NCT00174785;Arrhythmias, Cardiac;18031520
NCT00174785;Arrhythmias, Cardiac;19213680
NCT00174785;Arrhythmias, Cardiac;22770643
NCT00174785;Arrhythmias, Cardiac;21576129
NCT00174785;Arrhythmias, Cardiac;21296333
NCT00174785;Arrhythmias, Cardiac;20436046
NCT00174785;Arrhythmias, Cardiac;18031520
NCT00174785;Arrhythmias, Cardiac;19213680
NCT00174785;Arrhythmias, Cardiac;22770643
NCT00174785;Arrhythmias, Cardiac;21576129
NCT00174785;Arrhythmias, Cardiac;21296333
NCT00174785;Arrhythmias, Cardiac;20436046
NCT00182143;Embolism and Thrombosis;NA
NCT00200434;Hypertension;NA
NCT00206154;Lung Diseases, Obstructive;29331313
NCT00206154;Lung Diseases, Obstructive;25670896
NCT00206154;Lung Diseases, Obstructive;22383665
NCT00219076;Hypertension;NA
NCT00224146;Urinary Incontinence;17187655
NCT00224146;Urinary Incontinence;17132474
NCT00224146;Urinary Incontinence;17983434
NCT00225264;Diabetes Mellitus;NA
NCT00236717;Epilepsy;15072107
NCT00251927;Esophageal Diseases;26226096
NCT00251927;Esophageal Diseases;25858519
NCT00251927;Esophageal Diseases;25350223
NCT00251927;Esophageal Diseases;22998687
NCT00251927;Esophageal Diseases;21586712
NCT00251966;Esophageal Diseases;NA
NCT00259428;Arrhythmias, Cardiac;17804843
NCT00259428;Arrhythmias, Cardiac;17804843
NCT00264849;Lung Diseases, Obstructive;21933100
NCT00274053;Lung Diseases, Obstructive;NA
NCT00279201;Diabetes Mellitus, Type 2;19276235
NCT00279201;Diabetes Mellitus, Type 2;19885269
NCT00279201;Diabetes Mellitus, Type 2;25881510
NCT00279201;Diabetes Mellitus, Type 2;24092662
NCT00279201;Diabetes Mellitus, Type 2;23757434
NCT00279201;Diabetes Mellitus, Type 2;23101951
NCT00279201;Diabetes Mellitus, Type 2;21270182
NCT00279201;Diabetes Mellitus, Type 2;20685497
NCT00279201;Diabetes Mellitus, Type 2;19929994
NCT00279201;Diabetes Mellitus, Type 2;19336625
NCT00294723;Diabetes Mellitus, Type 2;NA
NCT00297115;Lung Diseases, Obstructive;19716960
NCT00297115;Lung Diseases, Obstructive;28419462
NCT00297115;Lung Diseases, Obstructive;24120253
NCT00297115;Lung Diseases, Obstructive;23117188
NCT00297115;Lung Diseases, Obstructive;20102307
NCT00306644;Diabetes Mellitus, Type 2;17305652
NCT00311753;Embolism and Thrombosis;NA
NCT00311818;Diabetes Mellitus, Type 2;18374840
NCT00324363;Diabetes Mellitus, Type 2;22236356
NCT00324363;Diabetes Mellitus, Type 2;19019476
NCT00326053;Lung Diseases, Obstructive;NA
NCT00331851;Diabetes Mellitus, Type 2;19245711
NCT00331851;Diabetes Mellitus, Type 2;19491536
NCT00331851;Diabetes Mellitus, Type 2;19688338
NCT00331851;Diabetes Mellitus, Type 2;19878259
NCT00331851;Diabetes Mellitus, Type 2;21450987
NCT00331851;Diabetes Mellitus, Type 2;22055210
NCT00331851;Diabetes Mellitus, Type 2;22193143
NCT00331851;Diabetes Mellitus, Type 2;21883806
NCT00331851;Diabetes Mellitus, Type 2;22862847
NCT00331851;Diabetes Mellitus, Type 2;23010561
NCT00331851;Diabetes Mellitus, Type 2;23186975
NCT00331851;Diabetes Mellitus, Type 2;25323312
NCT00331851;Diabetes Mellitus, Type 2;25504028
NCT00331851;Diabetes Mellitus, Type 2;24561125
NCT00336336;Heart Failure;15302013
NCT00336336;Heart Failure;18757090
NCT00336336;Heart Failure;18757089
NCT00336336;Heart Failure;28679559
NCT00336336;Heart Failure;28263812
NCT00336336;Heart Failure;27413037
NCT00336336;Heart Failure;24621973
NCT00336336;Heart Failure;23152490
NCT00336336;Heart Failure;22851700
NCT00336336;Heart Failure;22740508
NCT00336336;Heart Failure;22139751
NCT00336336;Heart Failure;21666249
NCT00336336;Heart Failure;21315217
NCT00336336;Heart Failure;19717850
NCT00336336;Heart Failure;29477817
NCT00338260;Hypertension;11937178
NCT00338260;Hypertension;11937179
NCT00338260;Hypertension;15326072
NCT00338260;Hypertension;12885747
NCT00338260;Hypertension;15734614
NCT00338260;Hypertension;18490279
NCT00338260;Hypertension;16116047
NCT00338260;Hypertension;15311110
NCT00338260;Hypertension;12243636
NCT00338260;Hypertension;12195132
NCT00338260;Hypertension;12899584
NCT00338260;Hypertension;15734615
NCT00338260;Hypertension;18504323
NCT00338260;Hypertension;18475164
NCT00338260;Hypertension;17697915
NCT00338260;Hypertension;12620695
NCT00338260;Hypertension;15642571
NCT00338260;Hypertension;18606908
NCT00338260;Hypertension;11204292
NCT00338260;Hypertension;15042116
NCT00338260;Hypertension;18058457
NCT00338260;Hypertension;18551025
NCT00338260;Hypertension;17078155
NCT00338260;Hypertension;11467763
NCT00338260;Hypertension;17586412
NCT00338260;Hypertension;15837945
NCT00338260;Hypertension;16139123
NCT00338260;Hypertension;15547162
NCT00338260;Hypertension;12023695
NCT00338260;Hypertension;17875180
NCT00338260;Hypertension;15790960
NCT00338260;Hypertension;10954006
NCT00338260;Hypertension;15500378
NCT00338260;Hypertension;12131543
NCT00338260;Hypertension;11897755
NCT00338260;Hypertension;17288679
NCT00338260;Hypertension;17351381
NCT00338260;Hypertension;16522993
NCT00338260;Hypertension;15057253
NCT00338260;Hypertension;17178978
NCT00338260;Hypertension;18259011
NCT00338260;Hypertension;14987582
NCT00338260;Hypertension;11835919
NCT00338260;Hypertension;15103312
NCT00338260;Hypertension;14871425
NCT00338260;Hypertension;11305990
NCT00338260;Hypertension;15655123
NCT00338260;Hypertension;16026365
NCT00338260;Hypertension;16505512
NCT00338260;Hypertension;15071485
NCT00338260;Hypertension;15037560
NCT00338260;Hypertension;15028365
NCT00338260;Hypertension;15583076
NCT00338260;Hypertension;16357874
NCT00338260;Hypertension;12809965
NCT00338260;Hypertension;16534012
NCT00338260;Hypertension;11499746
NCT00338260;Hypertension;12766755
NCT00338260;Hypertension;15042117
NCT00338260;Hypertension;15485419
NCT00338260;Hypertension;17785486
NCT00338260;Hypertension;11497193
NCT00338260;Hypertension;18651547
NCT00338260;Hypertension;11593111
NCT00338260;Hypertension;12944063
NCT00338260;Hypertension;15942467
NCT00338260;Hypertension;16365195
NCT00338260;Hypertension;15785156
NCT00338260;Hypertension;15057252
NCT00338260;Hypertension;16567586
NCT00338260;Hypertension;11082141
NCT00338260;Hypertension;15547161
NCT00338260;Hypertension;10950398
NCT00338260;Hypertension;10642268
NCT00338260;Hypertension;10678546
NCT00338260;Hypertension;10697300
NCT00338260;Hypertension;10855737
NCT00338260;Hypertension;11320367
NCT00338260;Hypertension;11497192
NCT00338260;Hypertension;11587150
NCT00338260;Hypertension;11775128
NCT00338260;Hypertension;12149666
NCT00338260;Hypertension;12160187
NCT00338260;Hypertension;12228792
NCT00338260;Hypertension;12458651
NCT00338260;Hypertension;12511533
NCT00338260;Hypertension;12658025
NCT00338260;Hypertension;15002006
NCT00338260;Hypertension;15014540
NCT00338260;Hypertension;15085167
NCT00338260;Hypertension;15103313
NCT00338260;Hypertension;15173125
NCT00338260;Hypertension;15257184
NCT00338260;Hypertension;15476632
NCT00338260;Hypertension;15619412
NCT00338260;Hypertension;15647776
NCT00338260;Hypertension;15771223
NCT00338260;Hypertension;15775796
NCT00338260;Hypertension;15834296
NCT00338260;Hypertension;16036498
NCT00338260;Hypertension;16280277
NCT00338260;Hypertension;16531808
NCT00338260;Hypertension;16572193
NCT00338260;Hypertension;17414673
NCT00338260;Hypertension;18219298
NCT00338260;Hypertension;18437127
NCT00338260;Hypertension;10642267
