"user","docid","page","corrupted","tableType","location","number","content","qualifiers"
"Hebe","9892586","2","false","subgroup_table","Row","1","p-interaction;outcomes",""
"Hebe","9892586","2","false","subgroup_table","Row","2","arms",""
"Hebe","9892586","2","false","subgroup_table","Col","1","subgroup_name","indented"
"Hebe","9892586","2","false","subgroup_table","Col","1","subgroup_level","indented"
"Hebe","9892586","3","false","subgroup_table","Row","1","outcomes;p-interaction",""
"Hebe","9892586","3","false","subgroup_table","Row","2","arms",""
"Hebe","9892586","3","false","subgroup_table","Col","1","subgroup_name",""
"Hebe","9892586","3","false","subgroup_table","Col","1","subgroup_level","indented"
"Hebe","9892586","4","false","subgroup_table","Row","1","p-interaction;outcomes",""
"Hebe","9892586","4","false","subgroup_table","Row","2","arms",""
"Hebe","9892586","4","false","subgroup_table","Col","1","subgroup_name","empty_row"
"Hebe","9892586","4","false","subgroup_table","Col","1","subgroup_level","indented"
"Avi","9848888","1","false","baseline_table","Row","1","arms",""
"Avi","9848888","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","9848888","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","9841303","1","false","baseline_table","Row","1","arms",""
"Avi","9841303","1","false","baseline_table","Col","1","baseline_level_1","empty_row;indented"
"Avi","9841303","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","9841303","2","false","subgroup_table","Row","1","arms",""
"Avi","9841303","2","false","subgroup_table","Row","2","measures",""
"Avi","9841303","2","false","subgroup_table","Col","1","subgroup_name","empty_row"
"Avi","9841303","2","false","subgroup_table","Col","1","subgroup_level",""
"Avi","9164316","1","false","baseline_table","Row","1","arms",""
"Avi","9164316","1","false","baseline_table","Col","1","baseline_level_1","bold"
"Avi","9164316","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29431256","1","false","baseline_table","Row","1","arms;measures",""
"Avi","29431256","1","false","baseline_table","Col","1","baseline_level_1","empty_row_with_p_value"
"Avi","29431256","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29431256","2","false","subgroup_table","Row","1","subgroup_name;p-interaction",""
"Avi","29431256","2","false","subgroup_table","Row","2","arms",""
"Avi","29431256","2","false","subgroup_table","Col","1","outcomes","empty_row"
"Avi","29431256","2","false","subgroup_table","Col","1","measures",""
"Avi","29429593 & Supplementary Append","1","false","baseline_table","Row","1","arms",""
"Avi","29429593 & Supplementary Append","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29429593 & Supplementary Append","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29415145","1","false","subgroup_table","Row","1","measures;p-interaction",""
"Avi","29415145","1","false","subgroup_table","Row","2","arms",""
"Avi","29415145","1","false","subgroup_table","Col","1","subgroup_name","empty_row"
"Avi","29415145","1","false","subgroup_table","Col","1","subgroup_level",""
"Avi","29415145","2","false","subgroup_table","Row","1","measures;p-interaction",""
"Avi","29415145","2","false","subgroup_table","Row","2","arms",""
"Avi","29415145","2","false","subgroup_table","Col","1","subgroup_name","empty_row;bold"
"Avi","29415145","2","false","subgroup_table","Col","1","subgroup_level","indented"
"Avi","29413502","1","false","baseline_table","Row","1","arms",""
"Avi","29413502","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29413502","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29406853","1","false","baseline_table","Row","1","arms;other",""
"Avi","29406853","1","false","baseline_table","Col","1","baseline_level_1",""
"Avi","29338762","1","false","baseline_table","Row","2","arms",""
"Avi","29338762","1","false","baseline_table","Col","1","baseline_level_1",""
"Avi","29307087","1","false","baseline_table","Row","1","baseline_level_1",""
"Avi","29307087","1","false","baseline_table","Row","2","arms",""
"Avi","29307087","1","false","baseline_table","Col","1","subgroup_name","empty_row"
"Avi","29307087","1","false","baseline_table","Col","1","subgroup_level",""
"Avi","29307087","2","false","subgroup_table","Row","1","p-interaction;measures",""
"Avi","29307087","2","false","subgroup_table","Row","2","arms",""
"Avi","29307087","2","false","subgroup_table","Col","1","outcomes","empty_row"
"Avi","29307087","2","false","subgroup_table","Col","1","subgroup_name",""
"Avi","29299340","1","false","baseline_table","Row","1","subgroup_name",""
"Avi","29299340","1","false","baseline_table","Row","2","arms",""
"Avi","29299340","1","false","baseline_table","Col","1","baseline_level_1",""
"Avi","29263150","1","false","baseline_table","Row","1","arms;measures",""
"Avi","29263150","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29263150","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29263150","3","false","subgroup_table","Row","1","arms;measures;p-interaction",""
"Avi","29263150","3","false","subgroup_table","Col","1","outcomes","empty_row_with_p_value"
"Avi","29263150","3","false","subgroup_table","Col","1","subgroup_name","indented"
"Avi","29151034","1","false","baseline_table","Row","1","subgroup_name",""
"Avi","29151034","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29151034","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29151034","2","false","subgroup_table","Row","1","arms;measures",""
"Avi","29151034","2","false","subgroup_table","Col","1","subgroup_name","empty_row"
"Avi","29151034","2","false","subgroup_table","Col","1","subgroup_level","indented"
"Avi","29151034","3","false","subgroup_table","Row","1","p-interaction",""
"Avi","29151034","3","false","subgroup_table","Col","1","outcomes","empty_row"
"Avi","29151034","3","false","subgroup_table","Col","1","subgroup_level","indented"
"Avi","29151034","4","false","subgroup_table","Row","1","arms;p-interaction;other",""
"Avi","29151034","4","false","subgroup_table","Col","1","outcomes",""
"Avi","29151034","4","false","subgroup_table","Col","2","subgroup_level",""
"Avi","29151034","5","false","subgroup_table","Row","1","arms;measures;p-interaction",""
"Avi","29151034","5","false","subgroup_table","Col","1","outcomes",""
"Avi","29151034","5","false","subgroup_table","Col","2","subgroup_level",""
"Avi","29146124","1","false","baseline_table","Row","1","arms",""
"Avi","29146124","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29146124","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29146124","2","false","subgroup_table","Row","2","measures",""
"Avi","29146124","2","false","subgroup_table","Row","3","arms",""
"Avi","29146124","2","false","subgroup_table","Col","1","subgroup_name",""
"Avi","29145215","2","true","subgroup_table","Row","1","subgroup_name",""
"Avi","29145215","2","true","subgroup_table","Row","2","subgroup_name;p-interaction",""
"Avi","29145215","2","true","subgroup_table","Row","3","measures;arms",""
"Avi","29145215","2","true","subgroup_table","Col","1","outcomes",""
"Avi","29145215","3","false","subgroup_table","Row","1","subgroup_name",""
"Avi","29145215","3","false","subgroup_table","Row","2","subgroup_name;p-interaction",""
"Avi","29145215","3","false","subgroup_table","Row","3","arms;measures",""
"Avi","29145215","3","false","subgroup_table","Col","1","outcomes",""
"Avi","29143919","1","false","baseline_table","Row","1","arms",""
"Avi","29143919","1","false","baseline_table","Row","2","subgroup_name",""
"Avi","29143919","1","false","baseline_table","Col","1","baseline_level_1",""
"Avi","29143919","2","true","baseline_table","Row","1","arms",""
"Avi","29143919","2","true","baseline_table","Row","2","subgroup_name",""
"Avi","29143919","2","true","baseline_table","Col","1","outcomes;other",""
"Avi","29132880","1","false","baseline_table","Row","1","arms",""
"Avi","29132880","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29132880","1","false","baseline_table","Col","1","baseline_level_2",""
"Avi","29132880","2","false","subgroup_table","Row","1","arms;p-interaction;measures",""
"Avi","29132880","2","false","subgroup_table","Col","1","subgroup_name","empty_row"
"Avi","29132880","2","false","subgroup_table","Col","1","subgroup_level",""
"Avi","29132879","1","false","baseline_table","Row","1","arms",""
"Avi","29132879","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29132879","1","false","baseline_table","Col","1","baseline_level_2","indented"
"Avi","29132879","2","false","subgroup_table","Row","1","arms;p-interaction",""
"Avi","29132879","2","false","subgroup_table","Col","1","subgroup_name","empty_row_with_p_value"
"Avi","29132879","2","false","subgroup_table","Col","1","subgroup_level",""
"Avi","29103664","1","false","baseline_table","Row","1","arms",""
"Avi","29103664","1","false","baseline_table","Row","2","arms",""
"Avi","29103664","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29103664","1","false","baseline_table","Col","1","baseline_level_2","indented"
"Avi","29084736","1","false","baseline_table","Row","1","arms",""
"Avi","29084736","1","false","baseline_table","Col","1","baseline_level_1","empty_row"
"Avi","29084736","1","false","baseline_table","Col","1","baseline_level_2","indented"
"Avi","29084736","2","false","subgroup_table","Row","1","arms;measures;p-interaction",""
"Avi","29084736","2","false","subgroup_table","Row","2","measures",""
"Avi","29084736","2","false","subgroup_table","Col","1","subgroup_name","empty_row"
"Avi","29084736","2","false","subgroup_table","Col","1","subgroup_level",""
