"";"docid_page";"row";"col";"value";"characteristic_level";"characteristic_name";"characteristic_name_";"characteristic_level_";"arms"
"1";"11527638_1";10;2;"47%";"Ischemic";"Diabetes Etiology";"Age";"<50";"Digoxin"
"2";"11527638_1";10;3;"53%";"Ischemic";"Diabetes Etiology";"Age";"<50";"Placebo"
"3";"11527638_1";10;4;"70%";"Ischemic";"Diabetes Etiology";"Age";"50-59";"Digoxin"
"4";"11527638_1";10;5;"65%";"Ischemic";"Diabetes Etiology";"Age";"50-59";"Placebo"
"5";"11527638_1";10;6;"72%";"Ischemic";"Diabetes Etiology";"Age";"60-69";"Digoxin"
"6";"11527638_1";10;7;"73%";"Ischemic";"Diabetes Etiology";"Age";"60-69";"Placebo"
"7";"11527638_1";10;8;"74%";"Ischemic";"Diabetes Etiology";"Age";"70-79";"Digoxin"
"8";"11527638_1";10;9;"72%";"Ischemic";"Diabetes Etiology";"Age";"70-79";"Placebo"
"9";"11527638_1";10;10;"69%";"Ischemic";"Diabetes Etiology";"Age";">80";"Digoxin"
"10";"11527638_1";10;11;"68%";"Ischemic";"Diabetes Etiology";"Age";">80";"Placebo"
"11";"11527638_1";11;2;"53%";"Nonischemic";"Diabetes Etiology";"Age";"<50";"Digoxin"
"12";"11527638_1";11;3;"47%";"Nonischemic";"Diabetes Etiology";"Age";"<50";"Placebo"
"13";"11527638_1";11;4;"30%";"Nonischemic";"Diabetes Etiology";"Age";"50-59";"Digoxin"
"14";"11527638_1";11;5;"35%";"Nonischemic";"Diabetes Etiology";"Age";"50-59";"Placebo"
"15";"11527638_1";11;6;"28%";"Nonischemic";"Diabetes Etiology";"Age";"60-69";"Digoxin"
"16";"11527638_1";11;7;"27%";"Nonischemic";"Diabetes Etiology";"Age";"60-69";"Placebo"
"17";"11527638_1";11;8;"26%";"Nonischemic";"Diabetes Etiology";"Age";"70-79";"Digoxin"
"18";"11527638_1";11;9;"28%";"Nonischemic";"Diabetes Etiology";"Age";"70-79";"Placebo"
"19";"11527638_1";11;10;"31%";"Nonischemic";"Diabetes Etiology";"Age";">80";"Digoxin"
"20";"11527638_1";11;11;"32%";"Nonischemic";"Diabetes Etiology";"Age";">80";"Placebo"
"21";"11527638_1";9;2;"19%";NA;"Diabetes Etiology";"Age";"<50";"Digoxin"
"22";"11527638_1";9;3;"22%";NA;"Diabetes Etiology";"Age";"<50";"Placebo"
"23";"11527638_1";9;4;"29%";NA;"Diabetes Etiology";"Age";"50-59";"Digoxin"
"24";"11527638_1";9;5;"30%";NA;"Diabetes Etiology";"Age";"50-59";"Placebo"
"25";"11527638_1";9;6;"32%";NA;"Diabetes Etiology";"Age";"60-69";"Digoxin"
"26";"11527638_1";9;7;"31%";NA;"Diabetes Etiology";"Age";"60-69";"Placebo"
"27";"11527638_1";9;8;"28%";NA;"Diabetes Etiology";"Age";"70-79";"Digoxin"
"28";"11527638_1";9;9;"30%";NA;"Diabetes Etiology";"Age";"70-79";"Placebo"
"29";"11527638_1";9;10;"17%";NA;"Diabetes Etiology";"Age";">80";"Digoxin"
"30";"11527638_1";9;11;"19%";NA;"Diabetes Etiology";"Age";">80";"Placebo"
"31";"11527638_1";12;2;"81";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"<50";"Digoxin"
"32";"11527638_1";12;3;"82";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"<50";"Placebo"
"33";"11527638_1";12;4;"81";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"50-59";"Digoxin"
"34";"11527638_1";12;5;"82";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"50-59";"Placebo"
"35";"11527638_1";12;6;"78";"Nonischemic";"Heart rate, min_1 (mean)";"Age";"60-69";"Digoxin"
