docid_page,row,col,value,baseline_level_1,arms,subgroup_name,outcomes,subgroup_name;p-interaction,measures;arms,arms;measures,measures,subgroup_level,arms;p-interaction;other,arms;measures;p-interaction,arms;other
29143919_1,3,2,59.5 ± 9.4,Age (years),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,3,60.7 ± 9.5,Age (years),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,4,59.1 ± 9.8,Age (years),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,5,58.6 ± 8.2,Age (years),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,6,60.5 ± 8.4,Age (years),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,7,61.4 ± 7.8,Age (years),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,8,59.9 ± 8.1,Age (years),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,9,60.7 ± 9.6,Age (years),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,2,55.4,Female (%),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,3,52.6,Female (%),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,4,57.1,Female (%),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,5,55.1,Female (%),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,6,52.6,Female (%),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,7,51.1,Female (%),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,8,51.9,Female (%),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,9,55.6,Female (%),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,2,12.1 ± 6.7,Duration of T2D (years),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,3,11.9 ± 6.8,Duration of T2D (years),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,4,11.6 ± 6.1,Duration of T2D (years),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,5,13.7 ± 7.7,Duration of T2D (years),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,6,12.1 ± 6.9a,Duration of T2D (years),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,7,12.7 ± 7.1a,Duration of T2D (years),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,8,11.8 ± 6.5,Duration of T2D (years),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,9,11.9 ± 7.5,Duration of T2D (years),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,2,31.7 ± 4.2,Screening BMI (kg/m2),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,3,31.4 ± 4.1,Screening BMI (kg/m2),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,4,32.0 ± 4.3,Screening BMI (kg/m2),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
