cluster,term
-1,heart failure ( class l - lll )
-1,"duration of hypertension , n ( % )"
-1,type nmbr diabetes 一 no . ( % )
-1,tofacitinib nmbr mg bid [n = nmbr |
-1,high - density lipoprotein cholesterol mean ( mg / dl ± sd )
-1,temporary discontinuation of study drug
-1,"death , mi , idr , st , or any timi bleeding"
-1,race and ss at baseline
-1,high intensity
-1,"prior percutaneous coronary intervention , n ( % )"
-1,pre - randomization pci
-1,"p , subgroup *"
-1,hosji fcrhypoglycemia
-1,apixaban vs . placebo
-1,medication use — no . ( % )
-1,second prior mi
-1,subarachnoid hemorrhage
-1,total invasive cancer
-1,acute stent thrombosis
-1,alteplase ( n = nmbr )
-1,relative decrease > nmbr %
-1,nmbrth - nmbrth percentiles
-1,number of ( % ) females
-1,emphysema ( % )
-1,argentina
-1,ccq score § §
-1,vents / patients
-1,number of patients with
-1,concomitant mtx —
-1,europe / lsrael
-1,thromboaspiration — no . ( % )
-1,cardiac - biomarker status — no . / total no . ( % ) $
-1,receiving insulin therapy
-1,pulmonary embolism ± deep vein thrombosis
-1,"abdominal or perianal fistula at baseline , n ( % )"
-1,cyclosporine ( n = nmbr )
-1,geographic region - europe
-1,indian ( indian subcontinent )
-1,percutaneous coronary intervention
-1,antiplatelet or anticoagulant therapy
-1,"lesion length , mean ( sd ) , mm"
-1,non - q wave
-1,continued thienopyridine n = nmbr subjects
-1,weight ( kg / mnmbr ) [median ( nmbrth to nmbrth percentile ) ]
-1,"left ventricular ejection fraction , % af history"
-1,"single - vessel disease , n ( % )"
-1,geographic region — no . ( % )
-1,pad lower extremities
-1,bmi > nmbr kg / mnmbr ( % )
-1,"total gadolinium - enhancing lesion count , no . ( % )"
-1,fatigue
-1,nmbr to < nmbr kg / mnmbr
-1,st - elevation mi
-1,azathioprine ( n = nmbr )
-1,serum uric acid ( mg / dl )
-1,"baseline mean ( sd ) , % [mmol / mol]"
-1,"cv death , ml , or stroke"
-1,atenolol ( « = nmbr nmbr )
-1,previous antiarrhythmic treatment — no . ( % )
-1,"drugs used in diabetes , n ( % )"
-1,after pci
-1,secukinumab
-1,mean a ± sem ( % )
-1,ppi but no aspirin
-1,nmbr mg / kg ( n = nmbr )
-1,family history of cad ( diagnosed at < nmbr yr of age ) — no . ( % ) cigarette smoker — no . ( % )
-1,trend / het . test
-1,cv death + hf hospitalization
-1,"mepolizumab , nmbr mg ( n = nmbr )"
-1,medical therapy only ( n = nmbr )
-1,caucasian ethnicity
-1,crcl at baseline < nmbr ml / min
-1,"elevated hscrp > nmbr mg / l , n ( % )"
-1,"seizure types reported during baseline , n ( % ) a"
-1,"median total cholesterol , mmol / l"
-1,"mean ± sd bmi , kg / mnmbr"
-1,first mace
-1,disease duration nmbr to bnmbr years ( n = nmbr )
-1,history of amputation — no . ( % )
-1,lipid - lowering medication ( % )
-1,"previous hf hospitalization , n ( % )"
-1,"mean lipid values , mg / dl"
-1,prior years taking warfarin
-1,"bnp , median ( iqr ) , pg / ml"
-1,"hbanmbrca , % ( mmol / mol )"
-1,latin america hr ( nmbr % cl )
-1,current atrial fibrillation or flutter on ecg
-1,invasive
-1,estimated glomerular filtration
-1,pasi score ! * *
-1,"amiodarone , n ( % )"
-1,american indian or alaska
-1,pooled simvastatin factorial studies
-1,implantable cardioverter - defibrillator
-1,varespladib ( n = nmbr )
-1,acute coronary event
-1,ntpro - cnp ( ng / ml )
-1,useofmedical therapyathospitaldischarge
-1,"coenzyme qnmbr , ^g / ml #"
-1,"dyspnoea - mmrc grade , n ( % )"
-1,triglycerides — mmol / liter
-1,baseline ecrcl
-1,cardiovascular history
-1,with placebo ( n nmbr nmbr )
-1,cardiovascular medications
-1,after bronchodilation
-1,"mean nmbrmwd * , m ( sd )"
-1,angiotensin - converting enzyme inhibitors / angiotensin receptor blockers
-1,medication taken alone or in combination
-1,etoricoxib dose
-1,"ischemic cerebrovascular disease , n ( % )"
-1,"bare metal stent , n ( % )"
-1,mean age ( years ) ( s . d . )
-1,"dasnmbr ( esr ) , mean ( sd )"
-1,"absolute , litres"
-1,wml load at follow - up mri
-1,"clopidogrel ( n = nmbr , nmbr )"
-1,ancestry ( % ) f
-1,no p - blocker intake at randomisation ( n = nmbr )
-1,"valsartan / hctz , n / n ( % )"
-1,> nmbr oral agents
-1,"total chol , mg / dl"
-1,"calcium channel blockers , n ( % )"
-1,"bsa > nmbr % , n ( % ) t"
-1,benralizumab nmbr mg qnmbrw ( n = nmbr )
-1,"blood pressure , mean ( sd ) [range] , mm hg"
-1,atenolol n = nmbr
-1,type of mi ( % )
-1,mtx + non - mtx
-1,"concomitant corticosteroid use , n ( % )"
-1,"estimated glomerular filtration rate ( mdrd ) , ml / min / nmbr . nmbrmnmbr"
-1,mild impairment ( nmbr to < nmbr )
-1,years since menopause
-1,major cvd /
-1,medical therapy ( n = nmbr )
-1,no . of tnfi among non - tnfi naive
-1,use of ace inhibitor
-1,haemorrhagic
-1,stroke ( vs tia )
-1,"detemir / insulin glargine , %"
-1,"screening prebronchodilator fevnmbr , l"
-1,stent plus placebo
-1,coronary revascularization nmbr days after randomization
-1,sacubitril / valsartan
-1,no . of prior bdmards
-1,"mean prebronchodilator fevnmbr ( sd ) , % predicted"
-1,paracetamol
-1,"aspirin / other antiplatelet agents , n ( % )"
-1,randomized to receive beta carotene
-1,"bsa , % *"
-1,erosion score
-1,"peripheral arterial disease , n ( % )"
-1,"primary end point , no . of events / total no . ( % )"
-1,lvdd ( mm )
-1,"draining cutaneous fistula at baseline , n ( % )"
-1,"tg < nmbr , hdl > nmbr ( n = nmbr )"
-1,comorbidities other than diabetes
-1,toast classification of qualifying stroke
-1,"rasagiline , nmbr mg / day"
-1,"metabolic syndromenmbr baseline lipids , mg / dl"
-1,"crude analysis , n ( % )"
-1,bypass surgery
-1,missing — number / n ( % )
-1,"cholesterol , ( . nmbr . nmbr mmol / l ) , n ( % )"
-1,right coronary
-1,health habits
-1,blood pressure
-1,"homa . % b , median ( ql , qnmbr ) , %"
-1,"severity of copd , ( gold nmbr ) , %"
-1,prior myocardial infarction
-1,both ptca and cabg
-1,major cerebrovascular
-1,"hazard ratio ( nmbr % cl ) nmbr . nmbr ( nmbr . nmbr , nmbr . nmbr )"
-1,diastolic blood pressure ( mm hg ) medications
-1,iglar dose at randomization ( u / day )
-1,prior cv event at randomization !
-1,"mean ± sd waist circumference , cm"
-1,risk of bleeding
-1,"cv medication , % of patients"
-1,"total updrs score ( range , nmbr - nmbr ) 卞"
-1,"atrial fibrillation , duration — no . ( % )"
-1,"known duration of diabetes , yr"
-1,nmbr % < hbanmbrc < = nmbr %
-1,dactylitis count
-1,previous disease :
-1,"previous dmards use , n ( % )"
-1,gly nmbr . nmbr gg b . i . d n / n ( % )
-1,previous percutaneous coronary intervention
-1,unfractionated heparin before randomisation
-1,oad plus insulin
-1,diabetes with target organ disease *
-1,unknown type
-1,beta - blocker — no . ( % )
-1,cognitive functioning
-1,( % ) nmbr - nmbr
-1,history of hyperlipidemia ( % )
-1,"evenls per nmbr , nmbr palienl - years"
-1,fasting free fatty acids ( ^mol / liter )
-1,treatment after admission
-1,rarertd antocagibtcn before andorrtzafon
-1,"intestinal area involved , n ( % ) $"
-1,ethnicity ( % )
-1,all cardiovascular
-1,smoking in the past year
-1,"diskus only , n"
-1,"jsn score , mean nmbr sd"
-1,number omega - nmbr number placeb fatty acid
-1,high - intensity statin vs medium - or low - intensity statin at randomization
-1,score on nih stroke scale — median ( iqr )
-1,initiation of insulin
-1,nmbrnd > nmbr . nmbr / < nmbr . nmbr
-1,cad and abi < nmbr - nmbr §
-1,pioglitazone events / n ( % )
-1,"acecoumarol , no . ( % )"
-1,cigarette users
-1,gfr ( mdrd ) ( ml / min / nmbr - nmbr mnmbr )
-1,bmi ( kg / mnmbr ) cardiac parameters
-1,ace inhibitor or arb at last follow - up
-1,blood urea nitrogen ( mg / dl )
-1,grip strength ( kg )
-1,current smoker — no . of patients ( % )
-1,one - third radius
-1,psychosocial risk factors
-1,bursitis
-1,non - hdl - c in nmbr classes
-1,family history ol diabetes ?
-1,age ( years ) : nmbr - < nmbr
-1,"digital clubbing , n ( % )"
-1,death or myocardial infarction
-1,"risk reduction , %"
-1,"a mini - mental state examination , omega - nmbr fatty acids vs placebo"
-1,"pain vas , nmbr - nmbr mm"
-1,smoking : ex - smoker
-1,statin treatment
-1,pre - bronchodilator fevnmbr / fvc ratio *
-1,prior stroke or transient ischemic attack
-1,czp nmbr mg ( n nmbr nmbr )
-1,microvascular eye diseased
-1,"extent of disease , %"
-1,mean ( nmbr % ci ) difference vs saxa + dapa + met
-1,urgent coronary revascularization
-1,caucasian simva
-1,full analysis set
-1,serious ae
-1,smoking history ( ever )
-1,uncodable
-1,no pah therapy
-1,standard ( n = nmbr )
-1,patent foramen ovale
-1,laboratory values
-1,"years , mean ( sd )"
-1,hscrp < nmbr . nmbr mga . nmbr ( nmbr . nmbrxnmbr ( nmbr . nmbr )
-1,physician ' s judgment that vka
-1,calcium - channel blocker ( ratelowering )
-1,left ventricular hypertrophy ( % )
-1,randomized to aspirin use
-1,"antihypertensive , antianginal , and other cardiovascular medications"
-1,glp - nmbr receptor agonist ( other than study drug )
-1,primary renal endpoint or death
-1,"metabolic syndrome characteristics , n ( % )"
-1,"mean duration of disease , years"
-1,other oral hypoglycemic drug ( s )
-1,> nmbr additional cv risk factorsnmbr
-1,pancolitis
-1,death from any cause
-1,"high - density lipoprotein cholesterol , mg / l"
-1,diabetes mellitus status
-1,fibrinolysis primary pci ( n = nmbr ) ( n = nmbr ) no . of patients / total no . ( % )
-1,stool frequency subscore
-1,psap - b ( ng / ml )
-1,no use of nmbr - asa compounds
-1,visit nmbr ldl cholesterol strata
-1,endothelin nmbr ( pg / ml )
-1,normal ( egfr > nmbr )
-1,py = nmbr . nmbr )
-1,fibrinogen
-1,"total haq , nmbr - nmbr"
-1,"mean baseline ibdq score ( sd ) § crp concentration , mg / l"
-1,dipyridamole
-1,aspirin and other antiplatelet
-1,positive
-1,age [years] ( interaction : p = nmbr . nmbr )
-1,decreased appetite
-1,beta - blocker ( except sotalol )
-1,geometric mean crp concentration ( mg / l )
-1,duration of morning
-1,hr ( enl vs lcz ) ( nmbr % cl )
-1,rf positive — number ( % )
-1,selected medications — no . ( % )
-1,"no peripheral revascularization ( n = nmbr , nmbr )"
-1,white / european
-1,at least nmbr flare
-1,"time to admission , min"
-1,octave sustain
-1,lm bifurcation not treated
-1,radial access
-1,history of peripheral artery disease
-1,"baseline fev , ( l )"
-1,combined trials
-1,negative
-1,severe dysfunction
-1,"fasting c - peptide , ng / ml"
-1,aggressive ( n = nmbr )
-1,"aldosterone blocker , %"
-1,management of event — no . ( % )
-1,> nmbrmg / dl chd status
-1,"serum albumin , g nmbr nmbr"
-1,intraperitoneal
-1,headache
-1,left main artery
-1,"> nmbr to < nmbr egfr , ml / min / nmbr . nmbr mnmbr a"
-1,established
-1,gender ( % ) male / female
-1,chondroitin sulfate ( n = nmbr )
-1,unstable angina ( biomarker negative )
-1,american indian or native alaskan
-1,symptom onset to start of reperfusion treatment : tenecteplase or arterial sheath insertion !
-1,age ( years ) [median ( nmbrth to nmbrth percentile ) ]
-1,formoterol nmbr gg bid
-1,race or ethnic group ( % )
-1,dihydropyridine
-1,canakinumab
-1,"lev status , n ( % )"
-1,steroids § §
