,descriptor,terms
0,characteristic_name,demography-demography-demography-history-history-history-history-history-history-history-history-mmol / l-mmol / l-mmol / l-mmol / l-infarct localisation-infarct localisation-infarct localisation-infarct localisation-infarct localisation-infarct localisation-killip class-killip class-killip class-killip class-killip class-killip class-killip class-killip class-median ( iqr ) admission data-median ( iqr ) admission data-mm hg-mm hg-mm hg-mm hg-mm hg-mm hg-mm hg-mm hg
1,characteristic_level,"median ( iqr ) age , years-median ( iqr ) age , years-m / f-diabetes-diabetes-receiving insulin therapy-receiving insulin therapy-current smoker-current smoker-median ( iqr ) cholesterol ,-median ( iqr ) cholesterol ,-previous myocardial infarction-previous myocardial infarction-previous cabg-previous cabg-anterior-anterior-inferior-inferior-lateral-lateral-i-i-ii-ii-iii-iii-iv-iv-systolic blood pressure ,-systolic blood pressure ,-diastolic blood pressure ,-diastolic blood pressure ,-heart rate , beats / min-heart rate , beats / min-time admission , min-time admission , min-time balloon / needle , min *-time balloon / needle , min *"
2,arms,stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )-stent group ( n = nmbr )-alteplase group ( n = nmbr )
3,characteristic_name,age ( yr )-age ( yr )-age ( yr )-age ( yr )-female sex ( % )-female sex ( % )-female sex ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-race ethnic group ( % )-body - mass index *-body - mass index *-body - mass index *-body - mass index *-body - mass index *-history diabetes ( % )-history diabetes ( % )-history diabetes ( % )-> nmbr previous venous thromboembolisms ( % )-> nmbr previous venous thromboembolisms ( % )-> nmbr previous venous thromboembolisms ( % )-family history venous thromboembolism ( % )-family history venous thromboembolism ( % )-family history venous thromboembolism ( % )-factor v leiden ( % )-factor v leiden ( % )-factor v leiden ( % )-prothrombin mutation ( % )-prothrombin mutation ( % )-prothrombin mutation ( % )-duration full - dose warfarin therapy enrollment ( mo )-duration full - dose warfarin therapy enrollment ( mo )-duration full - dose warfarin therapy enrollment ( mo )-duration full - dose warfarin therapy enrollment ( mo )-duration full - dose warfarin therapy enrollment ( mo )-time cessation full - dose warfarin therapy enrollment ( mo )-time cessation full - dose warfarin therapy enrollment ( mo )-time cessation full - dose warfarin therapy enrollment ( mo )-time cessation full - dose warfarin therapy enrollment ( mo )-time cessation full - dose warfarin therapy enrollment ( mo )-age ( yr )
4,characteristic_level,median-median-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-non - hispanic white-non - hispanic white-non - hispanic black-non - hispanic black-hispanic-hispanic-other-other-other-median-median-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-interquartile range-median-median-interquartile range-interquartile range-interquartile range-median-median-interquartile range-interquartile range
6,characteristic_name,factor v leiden prothrombin mutation-present-present-present-present-present-absent-absent-absent-absent-absent-sex-male-male-male-male-male-female-female-female-female-female-age-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-nmbr - nmbr yr-no . previous venous thromboembolic events-> nmbr-> nmbr-> nmbr-> nmbr-> nmbr-nmbr-nmbr-nmbr-nmbr-nmbr-time since randomization-< nmbr yr-< nmbr yr-< nmbr yr-< nmbr yr-< nmbr yr-> nmbr yr-> nmbr yr-> nmbr yr-> nmbr yr-> nmbr yr-time since cessation full - dose warfarin therapy-> nmbr mo-> nmbr mo-> nmbr mo-> nmbr mo-> nmbr mo-< nmbr mo-< nmbr mo-< nmbr mo-< nmbr mo-< nmbr mo
8,measures,. / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . events-no . / nmbr person - yr-no . / nmbr person - yr
9,characteristic_name,age — yr-age — yr-women — . ( % )-women — . ( % )-body - mass index-body - mass index-arterial hypertension — . ( % )-arterial hypertension — . ( % )-type nmbr diabetes 一 . ( % )-type nmbr diabetes 一 . ( % )-current smoker 一 . ( % )-current smoker 一 . ( % )-hypercholesterolemia 一 . ( % )-hypercholesterolemia 一 . ( % )-prior myocardial infarction 一 . ( % )-prior myocardial infarction 一 . ( % )-prior aortocoronary bypass surgery 一 . ( % )-prior aortocoronary bypass surgery 一 . ( % )-angina class iii iv — . ( % )-angina class iii iv — . ( % )-multivessel disease 一 . ( % )-multivessel disease 一 . ( % )-left ventricular ejection fraction-left ventricular ejection fraction-duration clopidogrel pretreatment 一 hr median-duration clopidogrel pretreatment 一 hr median-nmbrth - nmbrth percentiles-nmbrth - nmbrth percentiles-drug therapy admission 一 . ( % ) aspirin-drug therapy admission 一 . ( % ) aspirin-ace inhibitors-ace inhibitors-beta - blockers-beta - blockers-calcium - channel antagonists-calcium - channel antagonists-nitrates-nitrates-statins-statins
10,arms,abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr )
11,arms,abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )-abciximab . / total ( % )-placebo . / total ( % )
12,characteristic_name,age-age-age-age-sex-sex-sex-sex-diabetes-diabetes-diabetes-diabetes-angina class iii iv prior myocardial infarction-angina class iii iv prior myocardial infarction-angina class iii iv prior myocardial infarction-angina class iii iv prior myocardial infarction-intervention complex lesions-intervention complex lesions-intervention complex lesions-intervention complex lesions
13,characteristic_level,patients-all patients-> nmbr yr-> nmbr yr-< nmbr yr-< nmbr yr-male-male-female-female-yes-yes-no-no-yes-yes-no-no-yes-yes-no-no
14,characteristic_name,nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰-nmbr degree ica stenosis 丰
15,characteristic_level,smoking past year-smoking past year-smoking past year-< nmbr %-< nmbr %-nmbr % - nmbr %-nmbr % - nmbr %-nmbr % - nmbr %-nmbr % - nmbr %-nmbr % - nmbr %-irregular ulcerated ica p ) laque : [ :-irregular ulcerated ica p ) laque : [ :-irregular ulcerated ica p ) laque : [ :-infarct brain imaging 丰-infarct brain imaging 丰-infarct brain imaging 丰-intracranial disease major artery 寸-intracranial disease major artery 寸-intracranial disease major artery 寸-iduration symptoms > nmbr min-iduration symptoms > nmbr min-iduration symptoms > nmbr min-age > nmbr yr 十-age > nmbr yr 十-age > nmbr yr 十-male sex-male sex-male sex-hypertension-hypertension-hypertension-diabetes mellitus-diabetes mellitus-diabetes mellitus-myocardial infarction angina-myocardial infarction angina-myocardial infarction angina-hyperlipidemia-hyperlipidemia-hyperlipidemia
16,characteristic_name,hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr-hemispheric tia n = nmbr-hemispheric stroke n = nmbr-hemispheric stroke n = nmbr
