cluster,concept,cuis
6147,acute medication intake ( days / month ),C0013227;C0205178;C0556971;C1512806;C3244316;C4284232
6147,acute ( < $nmbr$ hr ),C0205178
6146,acute reaction,C0205178;C0443286
6146,acute and delayed reaction,C0205178
6145,study drug loading days ( actual ) : $nmbr$ ( n = $nmbr$ ),C0013175;C0237400;C0439228;C1708715
6145,actual or estimated weight  kg,C0237400
6145,actual ( l ),C0237400
6144,biventricular pacemaker,C1719274
6143,cardiac pacemaker — no . ( % ),C0030163;C0037189
6142,prior pacemaker  n ( % ),C0030163;C0332152;C0810633;C1546728;C2826257;C3275122;C3853703
6142,pacemaker — no . ( % ),C0030163;C0810633;C1546728;C3275122;C3853703
6142,pacemaker or icd,C0030163;C0810633;C1546728;C3275122;C3853703
6142,pacemaker  n ( % ),C0030163;C0810633;C1546728;C3275122;C3853703
6142,pacemaker  ( % ),C0030163;C0810633;C1546728;C3275122;C3853703
6142,pacemaker,C0030163;C0810633;C1546728;C3275122;C3853703
6141,paracetamol,C0000970
6141,acetaminophen,C0000970;C2917659
6140,avr,C0449217
6139,< $nmbr$ vr — no . ( % ),C3476815
6139,$nmbr$ - $nmbr$ vr — no . ( % ),C3476815
6138,avm ( n = $nmbr$ ),C0003857;C0279476
6138,avm % △ ( se ),C0003857;C0036919;C0279476
6137,arr ( % ),C2170357;C4084934
6137,arr ( $nmbr$ % cl ),C0596019;C2170357;C4084934
6137,arr ( $nmbr$ % ci ),C0008107;C2170357;C3259781;C4084934
6137,arr,C2170357;C4084934
6136,ez / simva n = $nmbr$ n ( % ),C0206578
6136,ez / simva < % >,C0206578
6136,ez / simva $nmbr$ mg,C0024671;C0026410;C0206578;C0439269;C1960952;C2346927;C4321396;C4521761
6136,ez / simva $nmbr$ / $nmbr$ mg,C0024671;C0026410;C0206578;C0439269;C1960952;C2346927;C4321396;C4521761
6136,ez / simva,C0206578
6136,all ez / simva,C0206578
6135,a $nmbr$ + ez n = $nmbr$ a $nmbr$ n = $nmbr$,C0206578
6135,a $nmbr$ + ez n = $nmbr$,C0206578
6135,a $nmbr$ + ez $nmbr$ a $nmbr$ ( n = $nmbr$ ) ( n = $nmbr$ ),C0206578
6135,a $nmbr$ + ez $nmbr$,C0206578
6134,ldl - cz,C0206578
6134,czech republic,C0206578
6133,h pylori serology *,C0036745;C0079488;C0220911;C0455278
