CUI,freq
C0018801,78
C0456387,42
C1261077,9
C1518526,42
C1705943,42
C0018802,123
C4554158,68
C0449238,222
C0020538,90
C1963138,70
C2926735,222
C1320657,43
C2930696,9
C0024671,495
C0026410,495
C0439269,957
C1960952,495
C2346927,495
C4321396,495
C4521761,495
C0023822,60
C0444504,1472
C2699239,1155
C2347634,1474
C2348143,1472
C0205374,11
C0457454,19
C0013175,28
C1444662,18
C4552847,16
C1548539,3
C3245481,3
C0011065,135
C3810814,193
C0036056,49
C3272372,49
C1306577,134
C4082313,125
C4552775,125
C0019080,75
C0034510,136
C1706779,136
C3853635,136
C2699257,10
C0168634,1025
C1442488,1024
C3891295,11
C4551874,10
C4081854,8
C0332152,366
C1532338,19
C2826257,301
C0034656,263
C4049621,123
C0740175,43
C2257086,43
C3669034,43
C0369773,107
C1079230,82
C1515021,72
C2603361,107
C1831808,10
C0032042,334
C1696465,334
C1706408,337
C0013227,263
C3244316,86
C4284232,189
C0042153,312
C0457083,318
C1947944,312
C0205436,35
C0457385,17
C0565930,52
C1561503,15
C1705190,15
C0038525,1
C0439175,317
C0677898,1
C0439810,317
C0205178,15
C3897493,16
C0032143,4
C0080103,6
C0392756,47
C0547047,20
C0205345,6
C1547039,6
C0039725,26
C1264641,15
C0039738,26
C1420718,26
C4282123,26
C4285344,26
C0237753,126
C0086287,92
C0449788,126
C0013990,5
C0034067,5
C0003761,2
C1504311,2
C0449820,356
C4050231,343
C0030705,455
C2360800,28
C0521115,100
C0025677,93
C1417487,71
C0015176,34
C1999091,3
C0005516,24
C2735302,3
C1271630,9
C0449438,48
C0018787,76
C0449442,4
C1522601,29
C1514756,51
C0021641,93
C0039798,264
C0087111,301
C1363945,74
C1533581,91
C1579433,91
C3714501,91
C0852030,1
C0226514,1
C0034065,12
C0149871,39
C0000726,1
C0267561,2
C0010592,2
C0010594,2
C0017446,80
C0454693,1
C0150457,2
C0221198,51
C1444754,12
C4330985,134
C4554674,134
C1706316,12
C1546698,40
C1518422,288
C0429089,5
C1305738,5
C0549178,28
C1120149,28
C0681850,39
C1550501,39
C1706203,39
C2349001,39
C2697811,39
C0552346,2
C1532718,261
C0549183,507
C0876920,496
C2347635,496
C2348144,496
C2939193,496
C0428772,47
C0344434,62
C0019664,227
C0019665,227
C0262512,227
C0262926,263
C1705255,227
C2004062,231
C4049859,25
C0488728,46
C0037179,6
C0042373,18
C0087136,6
C0205171,149
C0182158,15
C0332568,15
C3540603,15
C3669270,15
C3814046,15
C4319657,15
C0023216,8
C0578022,325
C1333400,2
C0750480,18
C1705566,18
C0015672,6
C3463815,6
C4050243,6
C4554645,6
C0520886,19
C0004482,16
C0455272,8
C0700634,5
C3829066,67
C3538987,90
C0439526,139
C1705224,139
C3887665,139
C4048877,90
C4318503,90
C0038454,208
C4554100,203
C0004147,17
C0205156,324
C0003195,15
C1522326,252
C1533734,192
C1705169,190
C3538994,190
C3887704,190
C3537142,4
C1552607,309
C3687832,26
C1273517,17
C0011847,170
C0011849,213
C3179547,18
C0358591,23
C0871125,17
C3811894,17
C0004057,134
C0439272,18
C0241889,16
C1504769,20
C2239547,20
C3813548,20
C4284121,20
C0011900,97
C0439234,621
C0001779,270
C0337667,7
C1521798,17
C4554533,17
C0898753,1
C1335803,1
C1704827,1
C0022885,30
C0039593,30
C0392366,33
C0456984,29
C1515976,27
C3831328,27
C4318744,27
C0018488,74
C0019993,85
C1313497,74
C1538440,74
C3273279,74
C0969324,4
C0418981,13
C1720467,104
C0007457,95
C0015031,75
C0243103,37
C0043157,94
C1846718,32
C0439445,340
C0205250,111
C0439268,86
C3163633,38
C0036572,16
C0332307,79
C1959629,9
C4553401,9
C0684224,29
C0700287,31
C4319718,28
C0201950,54
C1532563,209
C0543421,50
C0205435,61
C0349381,15
C0949745,15
C1445339,15
C1279901,76
C0872146,43
C0002688,10
C0332840,8
C1546539,8
C0023779,76
C0441994,61
C2003888,61
C0042295,62
C1515187,24
C0043031,52
C0054015,37
C0439297,68
C1095989,35
C1417808,34
C2982014,34
C0019016,155
C3887642,4
C1825777,154
C3538758,154
C0023122,5
C0596019,154
C0521116,99
C0004238,36
C1963067,36
C1705970,87
C0016385,11
C1623258,30
C2242390,11
C0205281,7
