"";"terms"
"1";"-------------------------------Week 54-----------------------------------"
"2";"------------------------------Week 30------------------------------"
"3";"-------------Week 30------------------------------ --------------------"
"4";"------------Week 54-----------------"
"5";"- <—■ bb—-►"
"6";"- HDL Cholesterol"
"7";"- LDL Cholesterol"
"8";"- Median fasting serum glucose (mg/dL) (IQR)"
"9";"- Median pulse pressure (mm Hg) (IQR)"
"10";"- Median TG (IQR)"
"11";"- Median urine ACR (mg/g) (IQR)"
"12";"- recurrent VTE during overall study period"
"13";"- thienopyridine"
"14";"- Triglycerides"
"15";"-[The null hypothesis is that there are no differences among subgroups; for age and time since randomization, the inter-"
"16";"-°-287; wom-"
"17";"-0-0331 (-0-2776too 2115)"
"18";"-0-29 (95% Cl -0-52 to -0-06)"
"19";"-0-50 (95% Cl -0-81 to -0-27)"
"20";"-0.54 (95%CI: -0.74, -0.34, n=185)"
"21";"-0.93 (95%CI: -1.12, -0.73, n=178) A -0.39%, *p=0.007"
"22";"-1 Placebo"
"23";"-2 < FLEX FN F- score"
"24";"-2.0 < LS T-score"
"25";"-2.2 (-3.5, -C).9r"
"26";"-2.5 < FLEX FN F-score < -2"
"27";"-2.5 < LS T-score < —2.0"
"28";"-23.7 (0.9)*ll"
"29";"-44.2 (95%CI: -53.8, -34.6, n=60)"
"30";"-45.4 ± lNO^"
"31";"-45.8 ± 1.44§tI"
"32";"-48.1 (95%CI: -56.7, -39.5, n=68) *p=0.523"
"33";"-5.65 to -3 cm"
"34";"-7-2 (95% Cl -10-8 to -3-5)"
"35";"-7-6 (95% Cl-11-2 to 4-0)"
"36";"-B-i-"
"37";"-B-i—"
"38";"-bI-"
"39";"-F2.88 (-I-0.16)"
"40";"-ICS/+ LABA n Z 597"
"41";"-major bleed"
"42";"-O-OO95 (-0-0348 to 0-0159)"
"43";"-O.OS"
"44";"-O8O (-1-lOto -0-50)"
"45";"-Oil"
"46";"— no. (%)"
"47";"—2.0 < FN T-score"
"48";"—2.5 < FN T-score < —2.0"
"49";"—b-H—"
"50";"! Amlodipine"
"51";"# of prior bDMARDs"
"52";"# of prior non-TNFi bDMARDs*"
"53";"# of prior TNFi among non-TNFi naive"
"54";"# PTS"
"55";"#1 year"
"56";"#100 kg"
"57";"$ 10 years (N = 586)"
"58";"$ 2 exacerbations"
"59";"$ 65 years (n = 454)"
"60";"$ Race was determined by the investigator during the patient's interview."
"61";"$10 years"
"62";"$3and,10 years"
"63";"%-Point difference (95% CI)c"
"64";"% (95% CI)"
"65";"% (SE)"
"66";"% \mean ± SD"
"67";"% anti-CCP+ (>60 units)"
"68";"% Asthma control days{,#"
"69";"% bronchial reversibility (SD)"
"70";"% change"
"71";"% change (mean ± SE)"
"72";"% change (mean±SE)"
"73";"% change (meanlSE)"
"74";"% change (meantSE)"
"75";"% change (median; Q1, Q3)"
"76";"% change from baseline"
"77";"% change from baseline LS means (SE)"
"78";"% change from baseline to Week 24"
"79";"% change from baseline, mean (s.e.)"
"80";"% change median Baseline CRP >2mg/L"
"81";"% change, 95% CI)"
"82";"% difference, 95% CI)"
"83";"% FHG"
"84";"% HbA1c (mmol/mol)"
"85";"% improvement in dactylitis score at week 24, N"
"86";"% improvement in enthesitis score at week 24, N"
"87";"% of patients 22.2    22.5"
"88";"% of predicted"
"89";"% of predicted normal value*"
"90";"% Patients"
"91";"% patients with no progression"
"92";"% PHG"
"93";"% pred"
"94";"% predicted"
"95";"% Predicted"
"96";"% predicted FEV,"
"97";"% predicted FEV^"
"98";"% predicted FEV1"
"99";"% Predicted FEV1"
"100";"% predicted post-bronchodilator FEV, (SD) ml"
"101";"% Predicted post-bronchodilator FEV1, mean (SD), L"
"102";"% predicted pre-BD"
"103";"% predicted pre-bronchodilator FEV1, %*"
"104";"% Predicted prebronchodilator FEV1, mean (SD), L"
"105";"% predicted value (SD)"
"106";"% predicted” FEV, at baseline, %*"
"107";"% Reduction"
"108";"% Reversibility"
"109";"% Reversibility in FEV^ at"
"110";"% RF+"
"111";"% Risk Reduction (95% Cl)"
"112";"% risk reduction (95%CI)"
"113";"% Stenosis (core lab)"
"114";"% Stenosis (investigator)"
"115";"% Stenosis, as assessed by core laboratory"
"116";"% Stenosis, as assessed by investigator"
"117";"% to goal"
"118";"% With HAQ-DI decrease >0.22"
"119";"%/year"
"120";"%/yr"
"121";"& Median"
"122";"($100 mg/dL [5.6 mmol/L])"
"123";"($110 mg/dL [6.1 mmol/L])"
"124";"($90 ml/min per 1.73 m2)"
"125";"(% of group)"
"126";"(% of Target)∗"
"127";"(%) Control (45002)"
"128";"(%) Control (45054)"
"129";"(%),28 mean (SD)"
"130";"(%, 95% Cl)"
"131";"(,60 ml/min per 1.73 m2)"
"132";"(:> blockers"
"133";"(_> 1.7 mmol/L) HDL-C women:< 50 mg/dL (< 1.3 mmol/L) men: < 40 mg/dL"
"134";"(< 1.0 mmol/L)"
"135";"(<5 mg/L)"
"136";"(<60 ml/minute)*"
"137";"(≥5 mg/L)"
"138";"(0-10-cm VAS)"
"139";"(156 patients)"
"140";"(158 patients)"
"141";"(21 patients)"
"142";"(217 subjects)"
"143";"(219 subjects)"
"144";"(22 patients)"
"145";"(3-Blocker"
"146";"(3-blockers"
"147";"(3-sitosterol (p.mol/L)"
"148";"(3 blocker"
"149";"(60-89 ml/min per 1.73 m2)"
"150";"(88.5%); values were not collected for 113 patients (11.5%) who were enrolled"
"151";"(95% CI)"
"152";"(95% CI)    P Value"
"153";"(95% CI);"
"154";"(95% CI)a"
"155";"(95% CI)b"
"156";"(95% CI)c"
"157";"(95% CI] 1"
"158";"(95% Cl)"
"159";"(95% Cl) Interaction"
"160";"(95% ell'll"
"161";"(95% ell'll,* Non-HDL-C"
"162";"(95%CI]h"
"163";"(96% Cl)"
"164";"(a blocker"
"165";"(a) AZA treatment (ref)"
"166";"(a) BMI subgroups"
"167";"(a) Demographics"
"168";"(b) Age subgroups"
"169";"(b) AZA treatment (ref)"
"170";"(b) Concomitant respiratory medications [N (%)]"
"171";"(baseline)"
"172";"(c) ' ' KZA treatment (ref)"
"173";"(cells per pL)t"
"174";"(CI)b"
"175";"(cm)"
"176";"(composite endpoint)"
"177";"(d) AZA treatment (ref)"
"178";"(e-blocker"
"179";"(e) AZA treatment (ref)"
"180";"(Fxs)"
"181";"(GM)"
"182";"(HAQ-DI, 0-3)"
"183";"(i-Blocker"
"184";"(ID"
"185";"(incl. uncertain)"
"186";"(including hypertension)"
"187";"(Interquartile range) (mm)"
"188";"(IQR)"
"189";"(IQR) — days"
"190";"(L)t"
"191";"(mean % change, 95% CI)"
"192";"(mean % difference, 95% CI)"
"193";"(mean +. SD)"
"194";"(mean ± SD)"
"195";"(mean change, 95% CI)"
"196";"(mean difference, 95% CI)"
"197";"(median, h)"
"198";"(mg/dL ± SD)"
"199";"(mg/dl)"
"200";"(mg/dL)"
"201";"(min)*"
"202";"(minimum-maximum) focal seizure fre- quency/28 days at baseline"
"203";"(mmol/L)"
"204";"(mmol/L]"
"205";"(mU/L$mmol/L)b"
"206";"(n = 325)    (n = 649)"
"207";"(n = 335)    (n = 666)"
"208";"(n = 335)    (n = 667)"
"209";"(N = 58)""'    (N = 46)"
"210";"(n = MS)"
"211";"(n=152) (n=151)"
"212";"(n=171) (n=156)"
"213";"(n=1l2)"
"214";"(n=205) (n=213)"
"215";"(n=211) (n=203)"
"216";"(n=241) (n=242)"
"217";"(n=28) (n=32)"
"218";"(n=285)    (n=561)"
"219";"(n=30) (n=39)"
"220";"(n=36) (n=29)"
"221";"(n=38) (n=29)"
"222";"(n=42) (n=50)"
"223";"(n=68) (n=73)"
"224";"(n=69) (n=84)"
"225";"(n=79) (n=79)"
"226";"(n=82) (n=84)"
"227";"(n=l44)"
"228";"(NE, NE)"
"229";"(ngml '') Total mean IPSS score"
"230";"(NYHA grade III or IV)"
"231";"(Ofl)"
"232";"(pg/mg)"
"233";"(Phase 2 dose-finding trial)"
"234";"(points)"
"235";"(range)"
"236";"(Ref)"
"237";"(ri = 149)"
"238";"(ri = 622)"
"239";"(SCALE Diabetes)"
"240";"(SCALE Obesity and Prediabetes)"
"241";"(SD)"
"242";"(SD) l/min ACQ-5 score, mean (SD)"
"243";"(SD),mg/dL"
"244";"(SE)"
"245";"(SE)t*"
"246";"(SE]+"
"247";"(SE]t"
"248";"(SE]t*"
"249";"(SE]tf"
"250";"(SE]tf HDL-C"
"251";"(SE]tf Total-C"
"252";"(SEM)"
"253";"(subgroup)"
"254";"(tiotropium n = 105, placebo n"
"255";"(tiotropium n = 86; placebo n ="
"256";"(Tiotropium n=82 Non-tiotropium n=322)"
"257";"(Tiotropium n=83 Non-tiotropium n=322)"
