cluster,concept,cuis
849,death  mi  idr  st  or any timi bleeding,C0011065;C0036056;C1306577;C3272372;C3810814;C4082313;C4552775
848,subarachnoid hemorrhage,C0038525
847,relative decrease > nmbr %,C0053917;C0080103;C0205345;C0392756;C0547047;C1334884;C1547039
846,europe / lsrael,C0015176
845,secukinumab,C3179547
844,pooled simvastatin factorial studies,C0074554;C1709595;C2349200;C2826344;C4522255
843,coenzyme qnmbr  ^g / ml #,C0009235;C1300565
842,wml load at follow - up mri,C0024485;C0589120;C1522577;C1550025;C1704685;C1704782;C1708715;C1824234;C3274571;C3890166
841,placebo + mtx,C0025677;C0032042;C1417487;C1696465;C1706408
840,crude analysis  n ( % ),C0002778;C0936012;C1524024
839,total updrs score ( range  nmbr - nmbr ) 卞,C0439175;C0439810;C3639721
838,family history of cad ( diagnosed at < nmbr yr of age ) — no . ( % ) cigarette smoker — no . ( % ),C0241889;C1504769;C2239547;C3813548;C4284121
837,metabolic syndrome characteristics  n ( % ),C0524620;C1521970
836,mean baseline ibdq score ( sd ) § crp concentration  mg / l,C0086045;C0168634;C0439268;C1442488;C1446561;C2699239;C3533236;C3827302;C3890735;C4048285
835,normal / mild ckd,C0205307;C0231683;C0439166;C1561643;C2347086;C2945599;C4553972
834,postmenopausal hormone use,C0019932;C0042153;C0232970;C0457083;C1947944;C4521914
833,prior cv event at randomization !,C0034656;C0332152;C0441471;C2826257;C3538987;C4019010;C4048877;C4318503
832,gold group d — no . ( % ) | |,C0018026;C0441838;C1304897
831,apo b ( mg / dl ) - mean ± sd,C0003593;C0439269;C0444504;C2347634;C2348143;C2699239;C3252643
830,anti - ischaemia agents *,C0022116;C0040616;C4321499
829,serum pnmbrnp ( ^g / liter ),C0229671;C0439267;C0475211;C1546774;C1550100
828,sex  male / female  %,C0043210;C0086287;C0086582;C1705497;C1705498;C1706180;C1706428;C1706429
827,detemir / insulin glargine  %,C0537270;C0907402
826,tocilizumab,C1609165
825,selexipag,C2000145
824,physical component,C0031809;C0205485;C0449432;C1509143;C1705248
823,fasting c - peptide  ng / ml,C0006558;C0015663;C0439275
822,no . of previous anti - tnf drugs — no . ( % ),C0013227;C0205156;C1448177;C1552607;C3687832
821,hbanmbrc distribution,C0520511;C1704711
820,serum albumin  g nmbr nmbr,C0036773;C0053917;C0439267;C0728877;C1334884
819,latin america hr ( nmbr % cl ),C0023122;C0053917;C0596019;C1334884
818,accp bleeding risk at inclusion  no . ( % ) f,C0007637;C1512693;C3251812
817,angina pectoris — no . ( % ),C0002962
816,low molecular weight ( lmw ) heparin before randomisation,C0019139;C0034656;C3536766
815,simvastatin monotherapy ( n = nmbr  nmbr * ),C0053917;C0074554;C1334884
814,egfr  ml / min / mnmbr,C0439445;C1739039;C3811844;C3812682
813,other anticoagulant,C0003280;C0848112;C3536711
812,fevnmbr / fvc  %  mean ( sd ) nmbr,C0053917;C0444504;C1334884;C2347634;C2348143;C2699239;C3714541
811,liraglutide nmbr . nmbr mg ls means ( n ),C0023668;C0024671;C0026410;C0053917;C0439269;C1334884;C1456408;C1704970;C1960952;C2346927;C4321396;C4521761
810,glyburide ( n = nmbr ),C0017628;C0053917;C1334884
809,european union,C0015179
808,statin + ezetimibe  n ( % ),C0360714;C1142985
807,exenatide,C0167117
806,comorbidities other than diabetes,C0009488;C0011847;C0011849
805,pulmonary embolism ± deep vein thrombosis,C0034065;C0149871;C0226514;C0852030
804,intestinal area involved  n ( % ) $,C0017446;C0021853;C0205146
803,central / eastern europe / russia,C0015177;C0035970;C0205099;C0682369;C1707877;C1879652
802,abatacept / open - label abatacept,C1619966;C1709323
801,without dm ( n = nmbrinmbr * ),C0011816;C3250443
800,fasting plasma insulin — mu / liter,C0015663;C0028971;C0347978;C0475211;C0857690;C3714918
799,abnormal angiogram,C0002978;C0205161;C1548816;C2347472;C2699333;C3891555;C4255126
798,phospholipid omega - nmbr levels : < nmbr % ( n = nmbr ),C0031676;C0053917;C0202177;C0441889;C1334884;C1719844
797,psoriatic arthritis pain],C0003872;C0030193;C0518090;C1962977;C2984058;C4085210;C4085211;C4085212;C4317006;C4553004;C4554132
796,beta - blocker ( except sotalol ),C0001645;C0037707
795,time from acs to randomization ( median  iqr ),C0040223;C0742343;C3541383;C4318612
794,baseline cardiovascular medication  c n ( % ),C0007220;C0168634;C1442488
793,western europe hr ( nmbr % cl ),C0043129;C0053917;C0596019;C1334884
792,myocardial infarction within the previous nmbr yr,C0027051;C0053917;C0205156;C0428953;C0439234;C1334884;C1552607;C2926063;C3810814;C4552959
791,low - dose aspirin use at baseline yes,C0042153;C0168634;C0457083;C1442488;C1549445;C1705108;C1710701;C1947944;C2608320
790,psoriasis covering > nmbr % bsa  n ( % ) §,C0033860;C0053917;C0180153;C0439844;C1334884
789,lp ( a )  mean ( sd ),C0065058;C0444504;C1439335;C2347634;C2348143;C2699239;C4553379
788,total score on the sgrq - c  i ,C0021966;C0221138;C2964552;C3826872
787,bivariate frailty model ( statin users vs non - users ),C0360714;C0424594;C1706077;C3161035;C3274659;C3714583;C3853906
786,unstable angina ( biomarker negative ),C0002965;C0005516;C0205160;C1513916;C2825415;C2825491;C3853545
785,parenteral anticoagulalion before randomization,C0030547;C0034656;C4522267
784,tobacco use ( % ),C0040335;C0543414;C0841002;C3853727
783,long - acting or short - acting nitrates,C0079613;C0205166;C1704930;C1706317;C1869853;C3890007;C4048375
782,claudication ( fontaine class > nmbr ),C0021775;C0053917;C0311395;C0456387;C1334884;C1456822;C1518526;C1705943
781,sf - nmbr score,C0037712;C0053917;C0449820;C1334884;C4050231
780,mean pulse pressure  mmhg ( s . d . ) “,C0232117;C0391850;C0444504;C0445074;C0949236;C1947910;C2347155;C2347634;C2348143
779,procedures for index event,C0025664;C0184661;C0441471;C0600653;C0918012;C1552854;C1637833;C2700391;C2986546;C3538935;C4019010
778,nmbr - nmbr with cv disease ( n = nmbr ),C0007222;C0053917;C1334884
777,recurrent ischemia - urgent revascularization,C0022116;C0439609;C0581603;C1455761;C2945760;C3272275;C4321499
776,atrial fibrillation onset,C0004238;C0206132;C0332162;C0344434;C1963067
775,cabg > nmbr month ago,C0010055;C0053917;C0332177;C0439231;C1334884
774,prior therapy with tnf antagonist  n ( % ),C0231491;C0279936;C0332152;C1448177;C1514463;C2826257
773,geographic region - north america,C0017446;C0028405
772,glucose - lowering therapies,C0017725;C0087111;C0441994;C2003888
771,continued thienopyridine n = nmbr subjects,C0053917;C0549178;C1120149;C1334884
770,lipid - lowering medication ( % ),C0013227;C0023779;C0441994;C2003888;C3244316;C4284232
769,hispanic,C0086409
768,cad and abi < nmbr - nmbr §,C1504769;C2239547;C3813548;C4284121
767,previous antiarrhythmic treatment — no . ( % ),C0003195;C0039798;C0087111;C0205156;C1522326;C1533734;C1552607;C1705169;C3537142;C3538994;C3887704
766,unfractionated heparin before randomisation,C0019134;C0034656;C2825026
765,race / ethnicity  %,C0015031;C0034510;C0243103;C1706779;C3853635
764,diabetes with target organ disease *,C0011847;C0011849;C0012634;C0178784;C1521840;C2986546
763,benralizumab nmbr mg qnmbrw ( n = nmbr ),C0024671;C0026410;C0053917;C0439269;C1334884;C1960952;C2346927;C2982078;C4321396;C4521761
762,ethnicity ( % ),C0015031;C0243103
761,glycemic drugs,C0005802;C0013227;C3687832
760,nt - probnp pg / mla ( iqr ),C0030827;C0072225;C0599973;C0669479;C0754710;C1266240
759,cardiac - biomarker status — no . / total no . ( % ) $,C0005516;C0018787;C0449438;C0449442;C1271630;C1522601;C1999091;C2735302
758,laboratory values at randomization ( median and iqr ),C0022877;C0034656;C0042295;C0549183;C0876920;C2347635;C2348144;C2939193;C3244292;C4283904
757,any pulmonary medication,C0013227;C0024109;C2707265;C2709248;C3244316;C4284232;C4522268
756,stent plus placebo,C0032042;C0038257;C0332287;C1696465;C1706408
755,contrast nephropathy risk score,C0009924;C0022658;C0035647;C0449820;C1979874;C4050231;C4552904
754,hispanic ( n = nmbr ),C0053917;C0086409;C1334884
753,patients with diabetic nephropathy,C0011881;C0030705;C1442864
752,geometric mean crp concentration ( mg / l ),C0086045;C0439268;C1446561;C2986759;C3827302;C3890735;C4048285
751,major bleeding ( statin use vs non - use ),C0019080;C0042153;C0205082;C0205164;C0360714;C0457083;C1947944;C4318856;C4521762
