cluster,concept,cuis
87,copd assessment test ( cat ) score,C0007450;C0325090;C0449820;C0524517;C1443200;C3665481;C4050231;C4050461;C4284282
87,cat total score,C0007450;C0325090;C0524517;C1443200;C2964552;C3665481;C4050461;C4284282
86,homa - ir  median ( qnmbr  qnmbr ),C0022065;C0022071;C0549183;C0876920;C1448132;C2347635;C2348144;C2939193
86,bdmard - ir,C0022065;C0022071;C1448132
85,lipoprotein ( a ) ( mg / dl ),C0065058;C0125953;C0439269;C1096202;C1439335
85,lipoprotein ( a )  median ( ql  qnmbr )  nmol / l,C0065058;C0125953;C0439282;C0549183;C0876920;C1096202;C1439335;C2347635;C2348144;C2939193
84,previous balloon angioplasty  n ( % ),C0002996;C0002997;C0205156;C1552607
84,balloon angioplasty — no . ( % ),C0002996;C0002997
83,coronary heart disease ( % ),C0010054;C0010068;C1956346
83,coronary heart disease,C0010054;C0010068;C1956346
82,myocardial ischaemia,C0010054;C0151744
82,ischemic heart disease  %,C0010054;C0151744
81,nt - probnp  median ( iqr )  pg / ml,C0439297;C0549183;C0669479;C0754710;C0876920;C2347635;C2348144;C2939193
81,change in nt - probnp at nmbr months ( log - transformed ),C0392747;C0443172;C0669479;C0754710;C1705241;C4319952
80,recent surgery or trauma,C0038894;C0038895;C0332185;C0543467;C1274039
80,planned valve surgery  n ( % ),C0038894;C0038895;C0184252;C0543467;C1186983;C1274039;C1301732;C1704414;C3888056
79,ace - i or arb use,C0021966;C0221138;C1452534;C4284014
79,ace - i / arb  ( % ),C0021966;C0221138;C1452534;C3888198;C4284014
78,tc / hdl - c ratio,C0039411;C0040642;C0041405;C0041698;C0456603;C1547037;C1824670;C3272447;C3715113;C4522122
78,tc / hdl - c,C0039411;C0040642;C0041405;C0041698;C1824670;C3272447;C3715113;C4522122
77,bl updrs : low,C0005918;C0006413;C1552663;C2827109;C3639721
77,bl updrs : high,C0005918;C0006413;C1552663;C2827109;C3639721
76,valsartan / hctz  n / n ( % ),C0020261;C0216784
76,valsartan / hctz,C0020261;C0216784
75,clopidogrel / ticlopidine,C0040207;C0070166
75,clopidogrel  ticlopidine  or prasugrel,C0040207;C0070166
74,ldl cholesterol at baseline ( mmol / l ) * ldl cholesterol at screening,C0023824;C0168634;C0202117;C1442488;C1532563
74,baseline ldl cholesterol,C0023824;C0168634;C0202117;C1442488
73,history of amputation — no . ( % ),C0002688;C0019664;C0019665;C0262512;C0262926;C0332840;C1546539;C1705255;C2004062
73,history of amputation,C0002688;C0019664;C0019665;C0262512;C0262926;C0332840;C1546539;C1705255;C2004062
72,fasting insulin — / tiu / ml §,C0015663;C0021641;C0439526;C1533581;C1579433;C1705224;C3714501;C3887665
72,fasting insulin,C0015663;C0021641;C1533581;C1579433;C3714501
71,urgent cor revasc,C0018787;C0056331;C0378365;C0439609;C3272275
71,cor revasc,C0018787;C0056331;C0378365
70,concomitant antihyperglycaemic drugs  n ( % ),C0013227;C0020616;C0521115;C3687832
70,antihyperglycemic medication usage,C0013227;C0020616;C0457083;C3244316;C4284232
69,cv death or first hhf,C0011065;C1306577;C3538987;C4048877;C4082313;C4318503;C4552775
69,cv death  ml  or stroke,C0011065;C0439526;C1306577;C1705224;C3538987;C3887665;C4048877;C4082313;C4318503;C4552775
68,median albumin / creatinine ratio ( g / mg ),C0024671;C0026410;C0439267;C0439269;C0486293;C0549183;C0876920;C1318293;C1960952;C2346927;C2347635;C2348144;C2939193;C4321396;C4521761
68,high - sensitivity crp — mg / liter | |,C0024671;C0026410;C0439269;C0475211;C1441604;C1960952;C2346927;C3890735;C4048285;C4321396;C4521761
67,infliximab nmbr mg / kg,C0053917;C0439272;C0666743;C1334884
67,infliximab - naive ( n = nmbr ),C0053917;C0666743;C1334884
66,current ( nmbr + cigs / day ),C0053917;C0332173;C0439228;C0439505;C0521116;C1334884;C1570610;C1705970
66,current (  nmbr cigs / day ),C0053917;C0332173;C0439228;C0439505;C0521116;C1334884;C1570610;C1705970
65,abatacept monotherapy ( n = nmbr ),C0053917;C1334884;C1619966
65,abatacept ( n = nmbr * ),C0053917;C1334884;C1619966
64,sbp < nmbr mmhg and dbp < nmbr mmhg,C0053917;C0085805;C0439475;C1334884
64,change in sbp ( nmbr months ),C0053917;C0085805;C0392747;C0439231;C0443172;C1334884;C1705241;C4319952
63,vascular territory # nmbr,C0005847;C0053917;C1301808;C1334884;C1558950;C1801960;C2983136
63,nmbr vessels or left main,C0005847;C0053917;C1334884
62,vorapaxar n = nmbr,C0053917;C1334884;C2974521
62,vorapaxar group ( n = nmbr ),C0053917;C0441848;C1334884;C2974521
61,diet plus pravastatin group ( n = nmbr ),C0012155;C0012159;C0053917;C0085542;C0332287;C0441848;C1334884;C1519433;C2983588;C3668949
61,diet + pravastatin ( n = nmbr ),C0012155;C0012159;C0053917;C0085542;C1334884;C1519433;C2983588;C3668949
60,"nmbr - aminosalicylates ’ i "" i ‘",C0021966;C0053917;C0221138;C0368663;C1334884
60,i & ii : fevnmbr > nmbr % predicted,C0021966;C0053917;C0221138;C1334884;C1710602;C4082587
59,north america n z nmbr,C0028405;C0053917;C1334884
