,concept,cluster
1793,cardiac rhythm disorders,348
1946,cardiac rhythm disorder at baseline yes,348
1759,average maximum cimt ( mm ),347
1992,average of maximum far wall cimt ( mm ),347
1947,left circumflex coronary artery,346
1691,left circumflex artery,346
1926,mean bdi focal score ( sd ),345
1576,mean score on dasnmbr - nmbr ( crp ) ^,345
1565,thrombophilia,344
1760,thrombophilia  no . ( % ) e,344
1732,ncep risk category at study entry  n ( % ),343
1523,risk score category ( points ),343
1622,timi risk score nmbr - nmbr,343
1948,risk category ( points ),343
1818,acr deciles,342
1514,acr  mg / mmol,342
1463,enalapril,341
1585,enalapril + aliskiren dm = nmbr non - dm = nmbr,341
1456,high risk with atherosclerotic vascular disease *,340
1883,high - risk cvd  n ( % ),340
1874,high risk,340
1837,d - dimer level  mean ( sd )  ng / mld,339
1450,d - dimer levelsatinclusion,339
1562,emotional status,338
1446,emotional role,338
1428,comparison with placebo ( mean,337
1685,comparison with baseline ( mean,337
1426,ace inhibitors or angiotensin ii,336
1656,ace inhibitors or angiotensin ii blockers,336
1636,omega - nmbr fatty acid,335
1417,omega - nmbr fatty acid ( n = nmbr ),335
1639,former or never,334
1409,former n z nmbr,334
1640,type nmbr diabetes duration  years,333
1526,type nmbr diabetes,333
1398,type nmbr diabetes duration  mean ( sd )  years,333
1666,conventional treatment ( n = nmbr ),332
1393,conventional treatment,332
1351,ivabradine ( n = nmbr ),331
1684,ivabradine group,331
1641,ccv history / condition,330
1350,ccv history / condition at baseline,330
1771,physician global assessment of disease activity ( vas nmbr - nmbr mm ),329
1327,physician global assessment ( nmbr - nmbr mm vas ),329
1657,physician ' s global assessment of dis -,329
1822,other dmard use,328
1323,dmard | |,328
1623,chronic obstructive pulmonary disease  n ( % ),327
1317,chronic obstructive pulmonary disease,327
1312,thienopyridine drug at start of open - label period,326
1996,thienopyridine type,326
1579,aortic stenosis,325
1285,aortic stenosis  n ( % ),325
1265,bl updrs : high,324
1694,bl updrs : low,324
1542,rf positive  n ( % ),323
1532,rf and acpa negativenmbr,323
1256,rf positive  %,323
1246,planned thienopyridine at baseline,322
1356,planned valve surgery  n ( % ),322
1271,therapy ( asa nmbr / placebo nmbr ),321
1447,antithrombotic therapy,321
1243,therapy ( asa nmbr  nmbr / placebo nmbr ),321
1672,therapy at discharge,321
1224,yes  non - insulin - treated,320
1651,yes  insulin - treated,320
1216,coronary heart disease ( % ),319
1293,coronary heart disease,319
1495,seropositive ( rf + ve and / or acpa + ve ) subgroup,318
1212,seropositivity,318
1204,rosuvastatin of patients ( rate ),317
1250,rosuvastatin n = nmbr,317
1319,homa - ir  median ( qnmbr  qnmbr ),316
1189,bdmard - ir,316
1757,hypertension serum lipid values,315
1187,hypertension : no ( n = nmbr ),315
1475,hypertension and left ventricular hypertrophy,315
1180,infliximab - naive ( n = nmbr ),314
1547,infliximab nmbr mg / kg,314
1985,infliximab - experienced ( n = nmbr ),314
1727,endothelin - receptor antagonists,313
1177,endothelin - receptor antagonists plus phosphodiesterase type nmbr inhibitors,313
1161,saxagliptin nmbr . nmbr mg ( n = nmbr  nmbr ),312
1471,saxagliptin nmbrmg ( n z nmbr ),312
1916,saxagliptin nmbr mg ( n = nmbr  nmbr ),312
1159,tender joint count ( nmbr - nmbr ),311
1452,tender joint count  of nmbr,311
1142,dasnmbr - esr lda,310
1998,dasnmbr - esr remission,310
1130,calculated ldl - c in nmbr classes,309
1324,calculated ldl cholesterol ( week nmbr ),309
1564,concomitant therapy,308
1120,concomitant therapy  no . ( % ),308
1785,concomitant therapies n ( % ),308
1501,obesity  % *,307
1098,obesity ( body mass index > nmbr kg / mnmbr ),307
1097,usa and canada,306
1108,united states,306
1955,iwqol - lite total score ( arbitrary units ) #,305
1069,in ibdq total score at week nmbr  mean [se],305
1135,total score on the sgrq - c  i ,305
1607,native coronary - artery lesions,304
1064,native latin,304
1517,indication for stent,303
1062,indication for pci,303
1060,homa_ % b tx difference vs pbo  median change from baseline ( se ) nmbr,302
1080,homajr tx difference vs pbo  median change from baseline ( se ) nmbr lipid parameters,302
1257,sf - nmbr ( health transition score ),301
1053,sf - nmbr physical component summaryjj,301
1211,sf - nmbr score,301
1234,sf - nmbrvnmbr domain scores  mean [sd],301
1957,ls mean difference ( se ) vs placebo,300
1048,ls mean % change from baseline _ se,300
1476,ls mean ( s . e . ) primary endpoint : % change from baseline to week nmbr,300
1284,etanercept,299
1039,etanercept ( n = nmbr ),299
1683,ff / vi nmbr / nmbr pg od,298
1032,ff / vi nmbr / nmbr gg ( n = nmbr  nmbr ),298
1847,ff / vi nmbr mg / nmbr mg ( n = nmbr ),298
1870,ff nmbr pgod,298
1987,rivaroxaban ( n = nmbr ),297
989,rivaroxaban nmbr mg,297
1114,rivaroxaban + aspirin,297
1381,associated with connective tissue disease,296
1880,associated with corrected - congenital shunts,296
986,associated with hiv infection,296
1696,lipoprotein ( a ) tx difference vs pbo  ls mean % change from baseline ( se ),295
972,lipoprotein ( a ) ( mg / dl ),295
1342,lipoprotein ( a )  median ( ql  qnmbr )  nmol / l,295
965,proactive intervention ( n = nmbra ),294
1660,multivessel intervention  n ( % ),294
1029,copd - rosuvastatin ( n = nmbr ),293
962,copd or asthma,293
1067,copd severity : severe / very severe,293
988,copd severity ( gold stage ),293
1676,all ~ cause mort / hf hosp .,292
961,cause of heart failure,292
955,gold nmbr groups,291
1584,gold nmbr groups  n ( % ),291
968,history of hypercholesterolemia  n ( % ),290
932,history of hypercholesterolemia,290
1443,fenofibric acid + moderate - dose statin,289
930,rosuvastain + fenofibric acid nmbr = nmbr,289
926,presence of honeycombing  nmbr n ( % ),288
1734,presence of dactylitis  n ( % ),288
1000,presence of mets,288
1863,blood eosinophil,287
907,blood eosinophils count,287
902,st ( arc definite only ),286
1614,st change > nmbr mm,286
1968,simplified disease activity index score ( nmbr - nmbr ),285
900,simplified disease activity index,285
1534,percentage with disease duration < nmbr years,284
896,percentage difference ( nmbr % cl ),284
893,exenatide,283
1134,exenatide n = nmbr,283
884,ind / glynmbr / nmbr pg o . d . n = nmbr,282
1570,ind nmbr gg q . d . n / n ( % ),282
1665,ace - i / arb  ( % ),281
879,ace - i or arb use,281
1835,neither ace - i nor arb use,281
1914,rate ratio,280
863,rate / nmbr patient - years,280
1560,steroid use at baseline,279
855,steroid use at baseline  n ( % ),279
854,claudication ( fontaine class > nmbr ),278
1230,claudication,278
1936,claudication only,278
