"user","docid","page","corrupted_text","tableType","location","number","content","qualifiers"
"David","9892586","1","","baseline_table","Col","1","characteristic_level","indented"
"David","9892586","1","","baseline_table","Row","1","measures",""
"David","9892586","1","","baseline_table","Row","2","arms",""
"David","9892586","1","","baseline_table","Col","1","characteristic_name",""
"David","24942540","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","24942540","1","","baseline_table","Row","1","arms",""
"David","24918789","2","","result_table_subgroup","Col","1","measures",""
"David","24918789","2","","result_table_subgroup","Row","1","characteristic_level",""
"David","24918789","2","","result_table_subgroup","Row","2","arms",""
"David","24323795","1","","","Col","1","characteristic_level;characteristic_name",""
"David","24323795","1","","","Col","1","characteristic_name","empty_row_with_p_value"
"David","24323795","1","","","Row","1","measures;arms",""
"David","20385930","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","20385930","1","","baseline_table","Col","1","characteristic_name","empty_row"
"David","20385930","1","","baseline_table","Col","1","characteristic_level","indented"
"David","20385930","1","","baseline_table","Row","1","characteristic_level;measures",""
"David","20370912","1","","baseline_table","Col","1","characteristic_level","indented"
"David","20370912","1","","baseline_table","Col","1","characteristic_name","empty_row"
"David","20370912","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","20370912","1","","baseline_table","Row","1","arms",""
"David","20370912","2","","result_table_subgroup","Col","1","characteristic_level","indented"
"David","20370912","2","","result_table_subgroup","Col","1","characteristic_name","empty_row"
"David","20370912","2","","result_table_subgroup","Row","1","arms",""
"David","20228404","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","20228404","1","","baseline_table","Col","1","characteristic_name","empty_row"
"David","20228404","1","","baseline_table","Col","1","characteristic_level","indented"
"David","20228404","1","","baseline_table","Row","1","arms;measures",""
"David","20228403","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","20228403","1","","baseline_table","Col","1","characteristic_name","empty_row"
"David","20228403","1","","baseline_table","Col","1","characteristic_name;characteristic_level","indented"
"David","20228403","1","","baseline_table","Row","1","arms;measures",""
"David","20228403","2","","result_table_subgroup","Col","1","characteristic_name",""
"David","20228403","2","","result_table_subgroup","Col","2","characteristic_level",""
"David","20228403","2","","result_table_subgroup","Row","1","arms;measures",""
"David","20228403","2","","result_table_subgroup","Row","2","arms;measures",""
"David","20228403","3","","result_table_subgroup","Col","1","characteristic_name",""
"David","20228403","3","","result_table_subgroup","Col","2","characteristic_level",""
"David","20228403","3","","result_table_subgroup","Row","1","measures;p-interaction",""
"David","20228403","3","","result_table_subgroup","Row","2","arms;measures",""
"David","20228403","4","","result_table_subgroup","Col","1","characteristic_name",""
"David","20228403","4","","result_table_subgroup","Col","2","characteristic_level",""
"David","20228403","4","","result_table_subgroup","Row","1","arms;measures",""
"David","20228403","4","","result_table_subgroup","Row","2","arms;measures",""
"David","20228402","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","20228402","1","","baseline_table","Col","1","characteristic_name","empty_row"
"David","20228402","1","","baseline_table","Col","1","characteristic_level","indented"
"David","20228402","1","","baseline_table","Row","1","arms;measures",""
"David","20228402","2","","result_table_subgroup","Col","1","characteristic_name",""
"David","20228402","2","","result_table_subgroup","Col","2","characteristic_level",""
"David","20228402","2","","result_table_subgroup","Row","1","arms;measures",""
"David","20228402","2","","result_table_subgroup","Row","2","arms;measures",""
"David","20228402","3","","result_table_subgroup","Col","1","characteristic_name",""
"David","20228402","3","","result_table_subgroup","Col","2","characteristic_level",""
"David","20228402","3","","result_table_subgroup","Row","1","measures",""
"David","20228402","3","","result_table_subgroup","Row","2","arms;measures",""
"David","20228402","4","","result_table_subgroup","Col","1","characteristic_name",""
"David","20228402","4","","result_table_subgroup","Col","2","characteristic_level",""
"David","20228402","4","","result_table_subgroup","Row","1","arms;measures",""
"David","20228402","4","","result_table_subgroup","Row","2","arms;measures",""
"David","20200926","1","","baseline_table","Col","1","characteristic_name;characteristic_level",""
"David","20200926","1","","baseline_table","Col","1","characteristic_name","empty_row"
"David","20200926","1","","baseline_table","Col","1","characteristic_level","indented"
"David","20200926","1","","baseline_table","Row","1","characteristic_name;outcomes;characteristic_level",""
"David","20200926","1","","baseline_table","Row","2","arms",""
"David","20200926","2","","result_table_subgroup","Col","1","outcomes;p-interaction",""
"David","20200926","2","","result_table_subgroup","Row","1","characteristic_level",""
"David","20200926","2","","result_table_subgroup","Row","2","arms;measures",""
