cn;concept;cuis;isdefault;cn_override;cleaned
 -10;> $nmbr$  < = $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;< = $nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$
 -10;< = $nmbr$ %;NA;NA;NA;$nmbr$
 -10;< = $nmbr$;NA;NA;NA;$nmbr$
 -10;> - $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;< - $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;x $nmbr$ = $nmbr$  p = $nmbr$ - $nmbr$;NA;NA;NA;x $nmbr$ $nmbr$ p $nmbr$ $nmbr$
 -10;x $nmbr$ = $nmbr$ - l  p = $nmbr$ - $nmbr$;NA;NA;NA;x $nmbr$ $nmbr$ l p $nmbr$ $nmbr$
 -10;x $nmbr$ = $nmbr$ - $nmbr$  p = $nmbr$ - $nmbr$;NA;NA;NA;x $nmbr$ $nmbr$ $nmbr$ p $nmbr$ $nmbr$
 -10;x $nmbr$  n ( % );NA;NA;NA;x $nmbr$ n
 -10;x ? = l - $nmbr$  p = $nmbr$ - $nmbr$;NA;NA;NA;x l $nmbr$ p $nmbr$ $nmbr$
 -10;x ? = $nmbr$ - l  p = $nmbr$ - $nmbr$;NA;NA;NA;x $nmbr$ l p $nmbr$ $nmbr$
 -10;x ? = $nmbr$ - $nmbr$  p = $nmbr$ - $nmbr$;NA;NA;NA;x $nmbr$ $nmbr$ p $nmbr$ $nmbr$
 -10;v $nmbr$ ( n = $nmbr$;NA;NA;NA;v $nmbr$ n $nmbr$
 -10;t ( n = $nmbr$  $nmbr$ );C2986835;NA;NA;t n $nmbr$ $nmbr$
 -10;q $nmbr$ w ( n = $nmbr$ );NA;NA;NA;q $nmbr$ w n $nmbr$
 -10;q $nmbr$ w ( n $nmbr$ $nmbr$ );NA;NA;NA;q $nmbr$ w n $nmbr$ $nmbr$
 -10;q $nmbr$ ( n   = $nmbr$ );NA;NA;NA;q $nmbr$ n $nmbr$
 -10;q $nmbr$ - q $nmbr$;NA;NA;NA;q $nmbr$ q $nmbr$
 -10;q ( q $nmbr$ \;NA;NA;NA;q q $nmbr$ \
 -10;e $nmbr$ / s $nmbr$ ( n = $nmbr$ );C3846405;NA;NA;e $nmbr$ s $nmbr$ n $nmbr$
 -10;e $nmbr$ ( n = $nmbr$ );NA;NA;NA;e $nmbr$ n $nmbr$
 -10;e $nmbr$ + a $nmbr$;NA;NA;NA;e $nmbr$ a $nmbr$
 -10;b + a ( n = $nmbr$ );NA;NA;NA;b a n $nmbr$
 -10;a $nmbr$ . $nmbr$ ± $nmbr$ a . $nmbr$;NA;NA;NA;a $nmbr$ $nmbr$ $nmbr$ a $nmbr$
 -10;a $nmbr$ c > s . $nmbr$ - s . $nmbr$ %;NA;NA;NA;a $nmbr$ c s $nmbr$ s $nmbr$
 -10;a $nmbr$ c > $nmbr$ . $nmbr$ %;NA;NA;NA;a $nmbr$ c $nmbr$ $nmbr$
 -10;a $nmbr$ c > $nmbr$ . $nmbr$ - $nmbr$ . $nmbr$ %;NA;NA;NA;a $nmbr$ c $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;a $nmbr$ c  %;NA;NA;NA;a $nmbr$ c
 -10;a $nmbr$ c < $nmbr$ . $nmbr$ %;NA;NA;NA;a $nmbr$ c $nmbr$ $nmbr$
 -10;a / c;NA;NA;NA;a c
 -10;a;NA;NA;NA;a
 -10;$nmbr$ ( $nmbr$ j ) z $nmbr$ ( $nmbr$ . e;NA;NA;NA;$nmbr$ $nmbr$ j z $nmbr$ $nmbr$ e
 -10;$nmbr$ - $nmbr$ y  n ( % );NA;NA;NA;$nmbr$ $nmbr$ y n
 -10;$nmbr$ . $nmbr$ ± b . b;NA;NA;NA;$nmbr$ $nmbr$ b b
 -10;$nmbr$ q $nmbr$ w ( n = $nmbr$ );NA;NA;NA;$nmbr$ q $nmbr$ w n $nmbr$
 -10;$nmbr$ c . t;NA;NA;NA;$nmbr$ c t
 -10;$nmbr$ - $nmbr$ ( s $nmbr$ - $nmbr$ ) t;C0718146;NA;NA;$nmbr$ $nmbr$ s $nmbr$ $nmbr$ t
 -10;> $nmbr$ y ( n = $nmbr$  $nmbr$ . $nmbr$ % );NA;NA;NA;$nmbr$ y n $nmbr$ $nmbr$ $nmbr$
 -10;< $nmbr$ y ( n = $nmbr$  $nmbr$ . $nmbr$ % );NA;NA;NA;$nmbr$ y n $nmbr$ $nmbr$ $nmbr$
 -10;- $nmbr$ . $nmbr$ ( - $nmbr$ . $nmbr$  - c ) . $nmbr$ r;C0722969;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ c $nmbr$ r
 -10;< $nmbr$ . $nmbr$ ( % );NA;NA;NA;$nmbr$ $nmbr$
 -10;> $nmbr$ . $nmbr$ ( % );NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ ( $nmbr$ . $nmbr$ . $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ ( $nmbr$ . $nmbr$ - $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ ( $nmbr$ . $nmbr$ – $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;( % ) ( $nmbr$ - $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$
 -10;( % ) ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ % - $nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ / $nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$  $nmbr$ - < $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$  $nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ - < $nmbr$ . $nmbr$ %;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ $nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ + $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ - $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;> $nmbr$ . $nmbr$ - < $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ - $nmbr$ - $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;> $nmbr$ - $nmbr$ - $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ - < $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$ $nmbr$
 -10;> $nmbr$ y . n ( % );NA;NA;NA;$nmbr$ y n
 -10;> $nmbr$ y  n ( % );NA;NA;NA;$nmbr$ y n
 -10;> = $nmbr$ ( % );NA;NA;NA;$nmbr$
 -10;> = $nmbr$ * ( % );NA;NA;NA;$nmbr$
 -10;< $nmbr$ ( % );NA;NA;NA;$nmbr$
 -10;^ $nmbr$ y  n ( % );NA;NA;NA;$nmbr$ y n
 -10;< $nmbr$ y  n ( % );NA;NA;NA;$nmbr$ y n
 -10;< $nmbr$ { % );NA;NA;NA;$nmbr$
 -10;a $nmbr$ c ( % );NA;NA;NA;a $nmbr$ c
 -10;> $nmbr$ ( % );NA;NA;NA;$nmbr$
 -10;$nmbr$ - < $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ . $nmbr$ % ( $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ ( $nmbr$ . $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ - $nmbr$ . $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;> $nmbr$ - $nmbr$ - $nmbr$;NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ ( $nmbr$ e < $nmbr$ % );NA;NA;NA;$nmbr$ $nmbr$ e $nmbr$
 -10;$nmbr$ ( $nmbr$ . $nmbr$ % );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ ( $nmbr$  $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ / $nmbr$ ( $nmbr$ );NA;NA;NA;$nmbr$ $nmbr$ $nmbr$
 -10;$nmbr$ e < $nmbr$ %;NA;NA;NA;$nmbr$ e $nmbr$
 -10;> $nmbr$  < $nmbr$;NA;NA;NA;$nmbr$ $nmbr$
 -10;^ $nmbr$;NA;NA;NA;$nmbr$
 -10;£ $nmbr$;NA;NA;NA;$nmbr$
 -10;« = $nmbr$;NA;NA;NA;$nmbr$
