Text,CUIS
,
characteristic,C1521970
placebo n $nmbr$,C0032042;C1696465;C1706408
gemfibrozil n $nmbr$,C0017245
age yr,C0001779;C0439234
$nmbr$ $nmbr$,
age $nmbr$ yr,C0001779;C0439234
$nmbr$,
race white,C0007457;C0043157;C0220938
black,C0005680;C0027567;C0085756;C0439541
other,
education $nmbr$ yr,C0013621;C0439234;C0013622;C0013658;C0039401
current smoker,C3173209;C3241966
alcohol consumption,C0001948
$nmbr$ $nmbr$ drinks dav,C0452428
$nmbr$ drinks dav,C0452428
hypertension,C0020538;C1963138
diabetes,C0011847;C0011849
prior myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
time since most recent myocardial,C0040223;C3541383
infarction yr history of congestive heart failure,C0455531
cabg or ptca,C0010055;C2936173
medication use aspirin,C0240320;C0004057
nitratesf,
calcium channel blockers,C0006684;C2757014
ace inhibitors,C0003015
beta blockers,C0001645
any antianginal drug,C0013227;C1254351
body mass index,C0005893;C0578022;C1305855
waist to hip ratio,C0205682
$nmbr$ $nmbr$ $nmbr$ $nmbr$,
blood pressure mm hg systolic,C0005823;C0039155;C1271104;C1272641
diastolic,C0012000
plasma lipids mg dl $nmbr$ total cholesterol mean,C0444504;C2347634;C2348143
interquartile range,C1711350
ldl cholesterol mean,C0444504;C2347634;C2348143
hdl cholesterol mean,C0444504;C2347634;C2348143
triglycerides mean,C0444504;C2347634;C2348143
plus minus values are means sd cabg denotes coronary artery by pass graft ptca percutaneous transluminal coronary angioplasty and ace angiotensin converting enzyme hypertension and diabetes were de fined by clinical history a more complete list of base line characteristics is given in rubins et al $nmbr$ nitrates includes all preparations except as needed nitroglycerin any antianginal drug includes any nitrate as defined above calcium channel blocker or beta blocker the body mass index is the weight in kilograms divided by the square of the height in meters to convert values for cholesterol to millimoles per liter multiply by $nmbr$ $nmbr$ to convert values for triglycerides to millimoles per liter multiply by $nmbr$ $nmbr$,C0042295;C1704970;C0010055;C0190211;C0920394;C0011847;C0011849;C0011198;C0017480;C3541240;C0205232;C0687757;C0745732;C3272378;C0040028;C0028125;C0332257;C1552866;C2700399;C1521827;C3812761;C0013227;C1254351;C0699857;C3848573;C0006684;C3536851;C4521885;C0001645;C0005893;C0578022;C1305855;C0005910;C0043100;C1305866;C1705104;C0332849;C0205120;C1552595;C0441074;C0008377;C0439190;C0475211;C1719797;C2911648;C0041004;C1532563
subgroupt,
placebo,C0032042;C1696465;C1706408
gemfibrozil,C0017245
risk reduction $nmbr$ cl,C1137094;C0596019
p value,C1709380
no with event total no,C0439175;C0439810
age,C0001779
$nmbr$ $nmbr$ $nmbr$,
$nmbr$ $nmbr$ to $nmbr$,
$nmbr$ yr,C0439234
race,C0034510;C1706779;C3853635
white,C0007457;C0043157;C0220938
nonwhite,
family history^,C0241889
yes,C1549445;C1705108;C1710701
no,
smoking,C0037369;C0453996;C1881674
current,C0521116;C1705970
former or never diabetes,C0205156;C0750523;C0011847;C0011849
$nmbr$ $nmbr$ $nmbr$ to $nmbr$,
aspirin use,C0042153;C0457083;C1947944
no beta blocker use,C0042153;C0457083;C1947944
hdl cholesterol,C0023822;C0392885
$nmbr$ $nmbr$ mg dl triglycerides^,C0439269;C0041004
$nmbr$ mg dl ldl cholesterol,C0023824;C0202117
$nmbr$ mg dl,C0439269
$nmbr$ $nmbr$ mg dl,C0439269
risk reduction $nmbr$ percent confidence interval ci and p value are derived from cox models for risk reductions negative numbers indicate an increase in risk diabetes and hypertension were defined by clinical history a family history was defined as having one or more first degree relatives with either myocardial infarction or sudden death before the age of $nmbr$ hdl cholesterol levels are shown according to the median value $nmbr$ $nmbr$ mg per deciliter [ $nmbr$ $nmbr$ mmol per liter] triglyceride levels are shown according to the median value $nmbr$ mg per deciliter [ $nmbr$ $nmbr$ mmol per liter] ldl cholesterol levels are shown according to the median value $nmbr$ mg per deciliter [ $nmbr$ $nmbr$ mmol per liter] and according to the values that divide the subjects into three equal groups $nmbr$ mg per deciliter [ $nmbr$ $nmbr$ mmol per liter],C0008107;C3259781;C1709380;C1441547;C3245521;C1137094;C2825415;C0442805;C1171304;C0020538;C1963138;C1704788;C3539106;C0241889;C0205447;C1518469;C1546180;C1547282;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761;C0439241;C0439190;C0475211;C0428475;C0202117;C0850994;C0680240;C0042295;C0332849;C0681850;C1550501;C1706203;C2349001;C2697811
