CUI,matchedText,preferred,hasMSH,semTypes
C1521970,Characteristic,Characteristics,false,qlco
C0032042,Placebo,Placebos,true,topp
C1696465,PLACEBO,placebo,false,bodm
C1706408,PLACEBO,Placebo Control,false,resa
C0017245,Gemfibrosil,Gemfibrozil,true,orch;phsu
C0001779,AGE,Age,false,orga
C0439234,yr,year,false,tmco
C0001779,AGE,Age,false,orga
C0439234,yr,year,false,tmco
C0007457,WHITE,Caucasoid Race,true,popg
C0043157,WHITE,Caucasians,true,popg
C0220938,WHITE,White color,false,qlco
C0005680,Black,Black race,true,popg
C0027567,Black,African race,true,popg
C0085756,BLACK,African American,true,popg
C0439541,Black,Black color,false,qlco
C0013621,Education,Knowledge acquisition,true,edac
C0439234,yr,year,false,tmco
C0013622,education,Educational aspects,true,clas
C0013658,"Education, NOS",Educational Status,true,fndg
C0039401,Education,Educational process of instructing,true,edac
C3173209,Current smoker,Current smoker:Finding:Point in time:^Patient:Ordinal,false,clna
C3241966,Current Smoker,Current Smoker,false,fndg
C0001948,ALCOHOL CONSUMPTION,Alcohol consumption,true,inbe
C0452428,Drinks,Drink (dietary substance),false,food
C0452428,Drinks,Drink (dietary substance),false,food
C0020538,HYPERTENSION,Hypertensive disease,true,dsyn
C1963138,Hypertension,"Hypertension, CTCAE",false,fndg
C0011847,Diabetes,Diabetes,false,dsyn
C0011849,Diabetes,Diabetes Mellitus,true,dsyn
C0027051,"Infarction, Myocardial",Myocardial Infarction,true,dsyn
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false,lbtr
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false,clna
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false,diap
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false,fndg
C0040223,TIME,Time,true,tmco
C3541383,Time,Time (foundation metadata concept),false,tmco
C0455531,History of - heart failure,H/O: heart failure,false,fndg
C0010055,CABG,Coronary Artery Bypass Surgery,true,topp
C2936173,PTCA,Percutaneous Transluminal Coronary Angioplasty,true,topp
C0240320,MEDICATION USE,medication use,false,fndg
C0004057,ASPIRIN,Aspirin,true,orch;phsu
C0006684,CALCIUM CHANNEL BLOCKERS,Calcium Channel Blockers,true,phsu
C2757014,Calcium Channel Blockers,Calcium Channel Antagonists [MoA],false,moft
C0003015,ACE INHIBITORS,Angiotensin-Converting Enzyme Inhibitors,true,phsu
C0001645,Beta blockers,Adrenergic beta-Antagonists,true,phsu
C0013227,Drug,Pharmaceutical Preparations,true,phsu
C1254351,DRUG,Pharmacologic Substance,false,phsu
C0005893,Body mass index,Body mass index procedure,false,diap
C0578022,Body Mass Index,Finding of body mass index,false,fndg
C1305855,BODY MASS INDEX,Body mass index,true,clna
C0205682,Waist to Hip Ratio,Waist-Hip Ratio,true,orga
C0005823,BLOOD PRESSURE,Blood Pressure,true,orgf
C0039155,Systolic,Systole,true,tmco
C1271104,Blood Pressure,Blood pressure finding,false,fndg
C1272641,Blood pressure,Systemic arterial pressure,true,fndg
C0012000,Diastolic,Diastole,true,clna
C0444504,Mean,Statistical mean,false,qnco
C2347634,Mean,Population Mean,false,qnco
C2348143,Mean,Sample Mean,false,qnco
C1711350,Interquartile Range,Interquartile Range,false,qnco
C0444504,Mean,Statistical mean,false,qnco
C2347634,Mean,Population Mean,false,qnco
C2348143,Mean,Sample Mean,false,qnco
C0444504,Mean,Statistical mean,false,qnco
C2347634,Mean,Population Mean,false,qnco
C2348143,Mean,Sample Mean,false,qnco
C0444504,Mean,Statistical mean,false,qnco
C2347634,Mean,Population Mean,false,qnco
C2348143,Mean,Sample Mean,false,qnco
C0042295,Values,Values,false,qlco
C1704970,Means,Means,false,cnce
C0010055,CABG,Coronary Artery Bypass Surgery,true,topp
C0190211,coronary artery angioplasty,Coronary angioplasty,false,topp
C0920394,angiotensin hypertension,angiotensin hypertension,false,patf
C0011847,Diabetes,Diabetes,false,dsyn
C0011849,Diabetes,Diabetes Mellitus,true,dsyn
C0011198,DE,Delaware,true,geoa
