"concept","cuis","rep_cuis","excluded_cuis","cc"
"fondaparinux no","C1098510","C1098510","",859
"baseline aspirin dose $nmbr$ mg","C0024671;C0026410;C0168634;C0439269;C1442488;C1960952;C2346927;C4321396;C4521761;C4696290","C0004057","",1366
"blood pressure lowering medication use","C0005823;C0240320;C0441994;C1271104;C1272641;C2003888",NULL,NULL,119
"all cause mortality at $nmbr$ year","C0015127;C0026565;C0026566;C0439234;C0439508;C0444868;C1524003;C3539085",NULL,NULL,1099
"baseline dmard use n","C0042153;C0168634;C0242708;C0457083;C1442488;C1947944",NULL,NULL,625
"egfr ml min $nmbr$ $nmbr$ m $nmbr$","C0369637;C0439445;C0441923;C1739039;C3811844;C3812682","C3811844;C0017654","",592
"high risk ri $nmbr$","C0035487;C0332167;C1826843;C3272283;C4050568;C4319571","C4319571","",837
"omega $nmbr$ fa","C1719844","C0015684","",1236
"anti ischaemia agents","C0022116;C0040616;C4321499",NULL,NULL,1668
"sfc $nmbr$ $nmbr$ mg twice daily n $nmbr$","C0024671;C0026410;C0439269;C0585361;C1960952;C2346927;C4321396;C4521536;C4521761",NULL,NULL,1283
"edema z","C0013604;C1717255",NULL,NULL,690
"benralizumab","C2982078",NULL,NULL,947
"$nmbr$ and no moderate or severe deformity n $nmbr$","C0000768;C0205081;C0205082;C0221430;C0302142;C1881878;C4049705;C4049706;C4050465;C4050466;C4085643;C4321335",NULL,NULL,321
"dbp during the follow up period mmhg","C0439475;C0439531;C0536221;C0589120;C1522577;C1704685;C1948053;C3274571;C3813197;C4281799",NULL,NULL,605
"renal biopsy class","C0194073;C0456387;C1518526;C1705943",NULL,NULL,452
"total daily dose of ics mean gc","C0444504;C0815320;C2347634;C2348070;C2348143;C3537453;C4281799;C4551720",NULL,NULL,37
"dizziness","C0012833;C0042571;C1963093;C4084788;C4085547;C4085548;C4085549;C4553830","","",-10
"lipid trial participants n","C0023779;C1997894;C2242969",NULL,NULL,278
"carotid bulb sites","C0007281;C0205145","C0007272","",1547
"spinal","C0521329",NULL,NULL,1551
"disease duration $nmbr$ to b $nmbr$ years n $nmbr$","C0439234;C0872146","C0449238","",1989
"statin at last follow up","C0360714;C0589120;C1522577;C1704685;C3274571","C0360714","",872
"known thrombophilic condition no","C0012634;C0205309;C0348080;C0398623;C1705253;C3864998",NULL,NULL,1710
"duration of type $nmbr$ diabetes categories n","C1320657;C1547660","C0011849;C1320657","",907
"a worldwide black and non black patients","C0005680;C0027567;C0085756;C0439541;C1829939","C0005680",";C1706779",188
"ics n","C0815320;C4551720","C3540778","",2182
"mineralocorticoid receptor antagonist","C1579268",NULL,NULL,185
"aminosalicylate","C0368663;C2825094","C0368663","",1691
