descriptor,terms
subgroup_name, age race family history smoking hypertension prior myocardial infarction aspirin use hdl cholesterol
subgroup_name, age sex diabetes clopidogrel given procedure location treatment center indication stent
subgroup_name, serum csf 005 001 r mmse minimental
subgroup_name, factor v leiden prothrombin mutation sex age previous venous thromboembolic events time since randomization time since cessation fulldose warfarin therapy
subgroup_name, entry criteria coronary vessels 50 diameter stenosis
subgroup_name, age sex race ethnicity us resident myocardial infarction left ventricular hypertrophy hypercholesterolemia congestive heart failure revascularization diabetes
subgroup_name, age sex diabetes angina class iii iv prior intervention complex lesions
subgroup_name, age smoking status bodymass indexf menopause hrt hypertension blood pressure
subgroup_name, age sex infarct location types fibrinolytic agent predominant type heparin
subgroup_name, treatment stratum age body mass index diabetes mellitus baseline ldlc
subgroup_name, previous disease age years sex treated hypertension history diabetes diastolic blood pressure mm hg total cholesterol mmol l ldl cholesterol mmol l hdl cholesterol mmol l triglycerides mmol l
subgroup_name, previous disease age years sex treated hypertension history diabetes diastolic blood pressure mm hg total cholesterol mmol l ldl cholesterol mmol l hdl cholesterol mmol l triglycerides mmol l
subgroup_name, troponin level clopidogrel pretreatment duration diabetes
subgroup_name, race age
subgroup_name, entire cohort race age chd status
subgroup_name, entire cohort gender race age baseline ldlc chd status
subgroup_name, sex age total cholesterol ldl cholesterol triglycerides hdlcholesterol diabetes hypertension bodymass index current past smoker
subgroup_name, baseline pasi score baseline bsa involvement dissatisfied stopped 1 prior systemic therapy side effects 2 prior systemic therapies side effects prior use 2 systemic therapies prior use biologic agents
subgroup_name, age sex diabetes established ascvd established ascvd 2 cv risk factors lowdose aspirin use baseline disease etoricoxib dose
subgroup_name, patients clinical event patients complicated events patients uncomplicated events
subgroup_name, age years sex bmi previous cad smoking diabetes total cholesterol mmol l triglyceride mm hdlcholesterol ldlcholesterol
subgroup_name, age years sex sbp mm hg history hypertension hba1c history macrovascular disease history microvascular disease treatment bp lowering drugs treatment openlabel perindopril treatment statins treatment antiplatelet drugs
subgroup_name, age bmi systolic blood pressure previous myocardial infarction previous hypertension cardiac rhythm anticoagulants
subgroup_name, stratified analyses
subgroup_name, lumbar spine total hip femoral neck trochanter onethird radius total body without head
subgroup_name, primary prevention subgroup secondary prevention subgroup
subgroup_name, sex race age body mass index+ smoking status
subgroup_name, sex race age body mass index smoking status diabetes status
subgroup_name, age sex systolic blood pressure glycated hemoglobin blood glucose bodymass index history macrovascular disease history microvascular disease lowering drugs treatment statins treatment antiplatelet drugs
subgroup_name, prespecified analysis medical history stroke risk score alcohol use age sex ethnic group obesity randomization placebo telmisartan statin use aceinhibitor use time onset qualifying stroke randomization toast classification qualifying stroke diabetes mellitus medical history hypertension baseline systolic blood pressure
subgroup_name, age bmi family history ol diabetes exercise weekly hyperlension hyperlipidemia menopause ht tolal choleslerol ldl choleslerol hdl choleslerol tolal choleslerollohdl choleslerol ralio nonhdl choleslerol a1c hscrp
subgroup_name, age years gender smoking status gold stage region race reversibility bmi
subgroup_name, age sex ejection fraction use ace inhibitor use betablocker diabetes hospitalization heart failure within 6 mo geographic region
subgroup_name, age sex diabetes history mi infarct localization interval pain onset admission interval study drug pci interval clopidogrel pci
subgroup_name, age hf lvd use ace inhibitor use antiarrhythmic agent use betablockers af alone
subgroup_name, type surgery baseline highsensitivity crp baseline ldl cholesterol baseline total cholesterol cardiac risk temporary discontinuation study drug
subgroup_name, gender age yrs baseline killip class history diabetes mellitus previous ml infarct location geographic location sites time symptom onset randomization hrs time qualifying ecg balloon inflation hrs time symptom onset balloon inflation hrs pci delay due low risk enrollment lmwh high risk
subgroup_name, gender age yrs history diabetes mellitus previous ml infarct location geographic location sites time symptom onset randomization hrs time qualifying ecg balloon inflation hrs time symptom onset balloon inflation hrs index pci performed pci delay due low risk enrollment lmwh high risk
subgroup_name, age years sex nihss baseline time treatment initiation min previous diabetes history stroke hypertension arial flutter fibrillation smoking history previous chronic use antiplatelet drugs
subgroup_name, bmi category
subgroup_name, age sex diabetes history mi infarct localization interval pain onset admission interval study drug pci interval clopidogrel pci
subgroup_name, age 75 age 75
subgroup_name, age sex smoking status baseline fev1 baseline cv treatment prior mi baseline shortacting anticholinergics
subgroup_name, age sex p blockers cause heart failure nyha class diabetes hypertension baseline heart rate
