,descriptor,terms
0,characteristic_level,"nmbr - nmbr mg / dl ""-no-former never diabetes-yes-nmbr mg / dl-< nmbr yr-current-> nmbr mg / dl-white-< nmbr . nmbr mg / dl-nonwhite-nmbr mg / dl ldl cholesterol | |-nmbr - nmbr mg / dl-no beta - blocker use-nmbr yr-nmbr . nmbr mg / dl triglycerides^-< nmbr mg / dl"
2,measures,"% ""-%-no . event / total . { % )"
3,characteristic_level,"diabetic patients-non - diabetic patients ""-non - diabetic patients"
4,outcomes,"death-death ""-death , large mi-large mi-total-tvr"
6,characteristic_name,"weight ( kg )-cerebrovascular accident-coronary - artery bypass grafting-l eft anterior descending coronary artery-bypass graft-myocardial infarction-smoker ( % )-age ( yr )-left circumflex artery-restenotic vessel-diabetes ( % )-left circumflex artery ""-hypertension ( % )-r ight coronar artery-percutaneous coronary revascularization-male sex ( % )"
7,arms,"abciximab ( n = nmbr )-abciximab ( n = nmbr ) ""-tirofiban ( n = nmbr )"
8,characteristic_name,"location treatment center-indication stent ""-diabetes-age-clopidogrel given procedure-indication stent-sex"
10,characteristic_level,"weekly-current-monthly-past-history high cholesterol ( ) nmbr-infarction age nmbr ( )-daily-rarely-never ""-never"
11,characteristic_name,"age , years-use hormone replacement therapy ( ) ""-body mass index ( kg / mnmbr ) * '-use hormone replacement therapy ( )-post - menopausal ( )-history diabetes ( )-history hypertension ( ) c-randomized active yitamin e-alcohol intake ( )-exercise least weekly ( )-smoking ( )"
12,characteristic_level,"post - menopausal hormone replacement ""-post - menopausal hormone replacement-therapy ( asa nmbr / placebo nmbr )-hormonal status-pre - menopausal without hormone replacement-therapy ( asa nmbr , nmbr / placebo nmbr )-pre - menopausal hormone replacement-post - menopausal without hormone replacement-all randomized women"
13,measures,"number ( % ) reporting migraine nmbr - month questionnaire-number ( % ) reporting migraine nmbr - month questionnaire """
14,characteristic_name,"age , years-previous balloon angioplasty , n ( % )-platelet count , x nmbr mmnmbr-systemic arterial hypertension , n ( % )-previous myocardial infarction , n ( % )-women , n ( % )-hypercholesterolemia , n ( % )-diabetes , n ( % ) ""-diabetes , n ( % )-previous bypass surgery , n ( % )-unstable angina , n ( % )-smoking habit , n ( % )"
16,arms,"placebo ( n = nmbr )-simvastatin ( n = nmbr ) ""-simvastatin ( n = nmbr )"
17,characteristic_level,"alathosterol ( % )-anmbrs - hydroxy --aabnmbr ( % )-cholesterol ( % )-aldl cholesterol ""-aldl cholesterol-a ( nmbr ( % )-acholesterol ( % )"
18,characteristic_name,"csf-serum ""-serum-> < nmbr . nmbr , < nmbr . nmbr , r < mmse = mini - mental ;"
19,characteristic_level,"mmse nmbr - nmbr ""-mmse nmbr - nmbr"
20,arms,"placebo-simvastatin-simvastatin """
21,other,"( n = nmbr )-( n = nmbr ) """
22,characteristic_name,"blood pressure , mean ( sd ) , mm hg-lipids , mean ( sd ) , mg / dlt-lipids , mean ( sd ) , mg / dlt "" ; na-medication use"
23,characteristic_level,"congestive heart failure-digoxin-aspirin-ace inhibitor-total cholesterol-smoking , % current-anyantianginal agent-waist circumference , mean ( sd ) , in-p - blocker-ptca / cabg-race , % nonwhite-calcium channel blocker-prior stroke-prior myocardial infarction-triglycerides-fpg , mean ( sd ) , mg / dlt-age , mean ( sd ) , y-hdl - c-diastolic-systolic-alcohol , % > nmbr drink / d-ptca-fpi , mean ( sd ) , pu / mlt-ptca ""-ldl - c-bmi , mean ( sd )-cabg-hypertension"
24,characteristic_level,"p value-impaired fasting glucose level ( n = nmbr )-undiagnosed diabetes ( n = nmbr )-diagnosed diabetes ( n = nmbr ) ""-normal fasting glucose level ( n = nmbr )-diagnosed diabetes ( n = nmbr )"
25,characteristic_name,"female sex ( % )-> nmbr previous venous thromboembolisms ( % )-family history venous thromboembolism ( % )-duration full - dose warfarin therapy enrollment ( mo )-factor v leiden ( % )-body - mass index * ""-history diabetes ( % )-race ethnic group ( % )-age ( yr )-prothrombin mutation ( % )-time cessation full - dose warfarin therapy enrollment ( mo )-body - mass index *"
26,characteristic_level,"median-median ""-other-hispanic-non - hispanic white-interquartile range-non - hispanic black"
28,characteristic_name,". previous venous thromboembolic events ""-no . previous venous thromboembolic events-age-time since cessation full - dose warfarin therapy-time since randomization-factor v leiden prothrombin mutation-sex"
29,characteristic_level,"male-nmbr-absent-< nmbr yr-> nmbr mo-> nmbr yr-> nmbr-> nmbr ""-< nmbr mo-female-nmbr - nmbr yr-present"
31,measures,". events-no . events ""-no . / nmbr person - yr"
32,characteristic_name,"race ( % ) "" ; na-race ( % )"
33,arms,"placebo-rsg nmbr mg / day-placebo """
34,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
35,outcomes,"fpg ( mg / dl )-fpg ( mg / dl ) ""-hbanmbrc ( % )"
36,measures,"comparison placebo-patients ( n )-( mean change , nmbr % ci )-comparison baseline-week nmbr ( mean , sd )-( mean difference , nmbr % ci )-week nmbr ( mean , sd ) ""-baseline ( mean , sd )"
37,arms,"placebo-rsg nmbr mg / day-placebo """
38,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
39,measures,"comparison placebo-( mean % difference , nmbr % ci )-patients ( n )-( mean % change , nmbr % ci )-comparison baseline-week nmbr ( mean , sd )-patients ( n ) ""-baseline ( mean , sd )"
40,arms,"placebo-rsg nmbr mg / day ""-rsg nmbr mg / day"
41,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
42,measures,"patients ( n )-comparison placebo ( mean-% difference , nmbr % ci )-comparison baseline ( mean-baseline ( geometric mean , cv )-% change , nmbr % ci )-week nmbr ( geometric mean , cv )-patients ( n ) """
43,arms,"placebo-rsg nmbr mg / day ""-rsg nmbr mg / day"
44,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
45,measures,"comparison placebo-( mean % difference , nmbr % ci )-patients ( n )-( mean % change , nmbr % ci )-comparison baseline-week nmbr ( mean , sd )-patients ( n ) ""-baseline ( mean , sd )"
46,arms,"placebo-rsg nmbr mg / day ""-rsg nmbr mg / day"
47,characteristic_level,"< nmbr %-< nmbr % ""-> nmbr %"
48,characteristic_level,"sex , female-hypercholesterolemia-cabg surgery-aspirin-chf history-moderate dysfunction-severe dysfunction-anterior-peripheral vascular disease-previous cabg surgery-indeterminate unknown-systolic blood pressure , mean ( sd ) , mm hg-renal insufficiency-education , high school higher-p - blockers-ptca < nmbr h-previous ml-q wave-cerebrovascular disease-killip class lll - iv-smoking history-age , mean ( sd ) , y-mild dysfunction normal-thrombolytic therapy-anticoagulants-non - q wave-inferior-lipid - lowering drugs-depressed only-cardiac catheterization-ace inhibitors-ace inhibitors ""-diabetes-marital status , married-comorbidity score , mean ( sd ) t-previous ptca-low perceived social support only-depressed low perceived social support-body mass index , mean ( sd ) t-hypertension-race , nonwhite"
49,characteristic_name,"characteristics index ml-treatment index ml-current prescribed medications-current prescribed medications ""-medical characteristics-psychosocial risk factors-ejection fraction category"
50,arms,"usual care ( n = nmbr )-intervention ( n = nmbr ) ""-intervention ( n = nmbr )"
51,characteristic_name,". coronary vessels > nmbr % diameter stenosis-no . coronary vessels > nmbr % diameter stenosis "" ; na-entry criteria"
52,characteristic_level,"nmbr-active smoker-serum cholesterol , median ( iqr ) , mg / dl-cardiac troponin level > nmbr . nmbr pg / l-age , median ( iqr ) , y-previous cabg surgery-women-left ventricular ejection fraction , median ( iqr ) , %-diabetes mellitus-previous myocardial infarction-none-arterial hypertension-insulin - dependent ""-insulin - dependent-previous balloon angioplasty-st - segment depression-cardiac troponin level , median ( iqr ) , pg / l"
53,measures,". ( % )-no . ( % ) """
54,arms,"nmbr prolonged antithrombotic pretreatment ( n = nmbr )-nmbr early intervention ( n = nmbr )-nmbr early intervention ( n = nmbr ) """
55,characteristic_name,"cabg > nmbr month ago-bmi , mean ( sd ) , kg / mnmbr ""-left ventricular hypertrophy-pci > nmbr month ago-peripheral vascular disease-heart failure ( class l - lll )-angina pectoris-abnormal angiogram-stroke-other nsaids-aspirin antiplatelet agent-race / ethnicity white-potassium supplement-any lipid - lowering agent-bmi , mean ( sd ) , kg / mnmbr-age , mean ( sd ) , y-antidiabetic medication | |-hormone replacement ! !-arrhythmia-hypercholesterolemiat-renal impairmentt-prior ml abnormal angiogram-myocardial infarction-diabetesf-unstable angina > nmbr mo ago-cabg pci"
56,arms,"calcium antagonist strategy ( n = nmbr nmbr )-non - calcium antagonist strategy ( n = nmbr nmbr ) ""-non - calcium antagonist strategy ( n = nmbr nmbr )"
57,characteristic_name,"us resident-congestive heart failure-hypercholesterolemia-left ventricular hypertrophy-myocardial infarction-age , y-revascularization-diabetes-sex ""-race / ethnicity-sex"
58,characteristic_level,"male-no-yes-other-> nmbr-white-hispanic-female-female ""-black-< nmbr"
60,arms,"placebo ( n = nmbr )-abciximab ( n = nmbr )-placebo ( n = nmbr ) """
