,descriptor,terms
0,characteristic_level,"< nmbr yr-white-former never diabetes-nmbr yr-nmbr - nmbr mg / dl ""-< nmbr mg / dl-nmbr mg / dl-nmbr - nmbr mg / dl-> nmbr mg / dl-no-< nmbr . nmbr mg / dl-nonwhite-nmbr mg / dl ldl cholesterol | |-nmbr . nmbr mg / dl triglycerides^-yes-no beta - blocker use-current"
2,measures,". event / total . { % )-%-% """
3,characteristic_level,"diabetic patients-non - diabetic patients-non - diabetic patients """
4,outcomes,"tvr-death ""-total-death-death , large mi-large mi"
6,characteristic_name,"smoker ( % )-diabetes ( % )-coronary - artery bypass grafting-percutaneous coronary revascularization-cerebrovascular accident-hypertension ( % )-male sex ( % )-restenotic vessel-bypass graft-l eft anterior descending coronary artery-left circumflex artery ""-myocardial infarction-r ight coronar artery-left circumflex artery-weight ( kg )-age ( yr )"
7,arms,"tirofiban ( n = nmbr )-abciximab ( n = nmbr ) ""-abciximab ( n = nmbr )"
8,characteristic_name,"location treatment center-age-clopidogrel given procedure-diabetes-indication stent-sex-indication stent """
10,characteristic_level,"history high cholesterol ( ) nmbr-monthly-weekly-infarction age nmbr ( )-past-never ""-daily-rarely-never-current"
11,characteristic_name,"use hormone replacement therapy ( )-alcohol intake ( )-age , years-history hypertension ( ) c-history diabetes ( )-exercise least weekly ( )-use hormone replacement therapy ( ) ""-smoking ( )-randomized active yitamin e-body mass index ( kg / mnmbr ) * '-post - menopausal ( )"
12,characteristic_level,"hormonal status-pre - menopausal hormone replacement-therapy ( asa nmbr / placebo nmbr )-all randomized women-post - menopausal without hormone replacement-pre - menopausal without hormone replacement-post - menopausal hormone replacement ""-post - menopausal hormone replacement-therapy ( asa nmbr , nmbr / placebo nmbr )"
13,measures,"number ( % ) reporting migraine nmbr - month questionnaire-number ( % ) reporting migraine nmbr - month questionnaire """
14,characteristic_name,"unstable angina , n ( % )-diabetes , n ( % )-platelet count , x nmbr mmnmbr-systemic arterial hypertension , n ( % )-age , years-previous myocardial infarction , n ( % )-diabetes , n ( % ) ""-smoking habit , n ( % )-previous balloon angioplasty , n ( % )-previous bypass surgery , n ( % )-hypercholesterolemia , n ( % )-women , n ( % )"
16,arms,"simvastatin ( n = nmbr )-simvastatin ( n = nmbr ) ""-placebo ( n = nmbr )"
17,characteristic_level,"aldl cholesterol-alathosterol ( % )-aabnmbr ( % )-a ( nmbr ( % )-anmbrs - hydroxy --acholesterol ( % )-cholesterol ( % )-aldl cholesterol """
18,characteristic_name,"serum ""-csf-serum-> < nmbr . nmbr , < nmbr . nmbr , r < mmse = mini - mental ;"
19,characteristic_level,"mmse nmbr - nmbr-mmse nmbr - nmbr """
20,arms,"simvastatin ""-simvastatin-placebo"
21,other,"( n = nmbr )-( n = nmbr ) """
22,characteristic_name,"lipids , mean ( sd ) , mg / dlt-blood pressure , mean ( sd ) , mm hg-medication use-lipids , mean ( sd ) , mg / dlt "" ; na"
