sheet;address;row;col;is_blank;data_type;error;logical;numeric;date;character;formula;is_array;formula_ref;formula_group;comment;height;width;style_format;local_format_id;search_round;bold;italic;indent;is_empty;has_no_num;tbl_n;file_name;blank_row;first_col;first_last_col;original_file_stored;pmid;pmid_tbl;ticker;indent_lvl
Sheet1;A1; 1;1;TRUE;character;NA;NA;NA;NA;Dabigatran 220 mg;NA;FALSE;NA;NA;NA;12,75;22;; 2;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;B1; 1;2;TRUE;blank;NA;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;12,75;13;; 2;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;C1; 1;3;TRUE;character;NA;NA;NA;NA;Enoxaparn 40 mg;NA;FALSE;NA;NA;NA;12,75;24;; 2;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;D1; 1;4;TRUE;character;NA;NA;NA;NA;Risk difference (%);NA;FALSE;NA;NA;NA;12,75;25;; 3;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;E1; 1;5;TRUE;character;NA;NA;NA;NA;Estimate (%);NA;FALSE;NA;NA;NA;12,75;21;; 2;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;A2; 2;1;FALSE;character;NA;NA;NA;NA;Event incidence/N;NA;FALSE;NA;NA;NA;12,75;22;; 2;jesus_fix;NA;NA;FALSE;FALSE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;B2; 2;2;TRUE;blank;NA;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;12,75;13;; 2;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;C2; 2;3;FALSE;character;NA;NA;NA;NA;Event incidence/N;NA;FALSE;NA;NA;NA;12,75;24;; 2;jesus_fix;NA;NA;FALSE;FALSE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;D2; 2;4;TRUE;character;NA;NA;NA;NA;(95% Cl) 1;NA;FALSE;NA;NA;NA;12,75;25;; 4;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;E2; 2;5;TRUE;character;NA;NA;NA;NA;(95% Cl);NA;FALSE;NA;NA;NA;12,75;21;; 5;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
Sheet1;A3; 3;1;TRUE;character;NA;NA;NA;NA;Geographical region;NA;FALSE;NA;NA;NA;12,75;22;; 6;jesus_fix;NA;NA;FALSE;TRUE;NA;2;26578849_2.xlsx;NA;NA;NA;26578849_2.xlsx;26578849;26578849_2;NA;0
