user;docid;page;corrupted_text;tableType;location;number;content;qualifiers
Hebe;9892586;4;NA;subgroup_table;Row;1;"p-interaction;outcomes";NA
Hebe;9892586;4;NA;subgroup_table;Row;2;arms;NA
Hebe;9892586;4;NA;subgroup_table;Col;1;subgroup_name;empty_row
Hebe;9892586;4;NA;subgroup_table;Col;1;subgroup_level;indented
Avi;9848888;1;NA;baseline_table;Row;1;arms;NA
Avi;9848888;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;9848888;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;9841303;1;NA;baseline_table;Row;1;arms;NA
Avi;9841303;1;NA;baseline_table;Col;1;baseline_level_1;"empty_row;indented"
Avi;9841303;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;9841303;2;NA;subgroup_table;Row;1;arms;NA
Avi;9841303;2;NA;subgroup_table;Row;2;measures;NA
Avi;9841303;2;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;9841303;2;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;9164316;1;NA;baseline_table;Row;1;arms;NA
Avi;9164316;1;NA;baseline_table;Col;1;baseline_level_1;bold
Avi;9164316;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29431256;1;NA;baseline_table;Row;1;"arms;measures";NA
Avi;29431256;1;NA;baseline_table;Col;1;baseline_level_1;empty_row_with_p_value
Avi;29431256;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29431256;2;NA;subgroup_table;Row;1;"subgroup_name;p-interaction";NA
Avi;29431256;2;NA;subgroup_table;Row;2;arms;NA
Avi;29431256;2;NA;subgroup_table;Col;1;outcomes;empty_row
Avi;29431256;2;NA;subgroup_table;Col;1;measures;NA
Avi;29429593 & Supplementary Append;1;NA;baseline_table;Row;1;arms;NA
Avi;29429593 & Supplementary Append;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29429593 & Supplementary Append;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29415145;1;NA;subgroup_table;Row;1;"measures;p-interaction";NA
Avi;29415145;1;NA;subgroup_table;Row;2;arms;NA
Avi;29415145;1;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;29415145;1;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;29415145;2;NA;subgroup_table;Row;1;"measures;p-interaction";NA
Avi;29415145;2;NA;subgroup_table;Row;2;arms;NA
Avi;29415145;2;NA;subgroup_table;Col;1;subgroup_name;"empty_row;bold"
Avi;29415145;2;NA;subgroup_table;Col;1;subgroup_level;indented
Avi;29413502;1;NA;baseline_table;Row;1;arms;NA
Avi;29413502;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29413502;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29406853;1;NA;baseline_table;Row;1;"arms;other";NA
Avi;29406853;1;NA;baseline_table;Col;1;baseline_level_1;NA
Avi;29338762;1;NA;baseline_table;Row;2;arms;NA
Avi;29338762;1;NA;baseline_table;Col;1;baseline_level_1;NA
Avi;29307087;1;NA;baseline_table;Row;1;baseline_level_1;NA
Avi;29307087;1;NA;baseline_table;Row;2;arms;NA
Avi;29307087;1;NA;baseline_table;Col;1;subgroup_name;empty_row
Avi;29307087;1;NA;baseline_table;Col;1;subgroup_level;NA
Avi;29299340;1;NA;baseline_table;Row;1;subgroup_name;NA
Avi;29299340;1;NA;baseline_table;Row;2;arms;NA
Avi;29299340;1;NA;baseline_table;Col;1;baseline_level_1;NA
Avi;29263150;1;NA;baseline_table;Row;1;"arms;measures";NA
Avi;29263150;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29263150;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29263150;3;NA;subgroup_table;Row;1;"arms;measures;p-interaction";NA
Avi;29263150;3;NA;subgroup_table;Col;1;outcomes;empty_row_with_p_value
Avi;29263150;3;NA;subgroup_table;Col;1;subgroup_name;indented
Avi;29151034;1;NA;baseline_table;Row;1;subgroup_name;NA
Avi;29151034;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29151034;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29151034;2;NA;subgroup_table;Row;1;"arms;measures";NA
Avi;29151034;2;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;29151034;2;NA;subgroup_table;Col;1;subgroup_level;indented
Avi;29151034;4;NA;subgroup_table;Row;1;"arms;p-interaction;other";NA
Avi;29151034;4;NA;subgroup_table;Col;1;outcomes;NA
Avi;29151034;4;NA;subgroup_table;Col;2;subgroup_level;NA
Avi;29151034;5;NA;subgroup_table;Row;1;"arms;measures;p-interaction";NA
Avi;29151034;5;NA;subgroup_table;Col;1;outcomes;NA
Avi;29151034;5;NA;subgroup_table;Col;2;subgroup_level;NA
Avi;29146124;1;NA;baseline_table;Row;1;arms;NA
Avi;29146124;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29146124;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29146124;2;NA;subgroup_table;Row;2;measures;NA
Avi;29146124;2;NA;subgroup_table;Row;3;arms;NA
Avi;29146124;2;NA;subgroup_table;Col;1;subgroup_name;NA
Avi;29145215;2;Corrupted older annotation;subgroup_table;Row;1;subgroup_name;NA
Avi;29145215;2;Corrupted older annotation;subgroup_table;Row;2;"subgroup_name;p-interaction";NA
Avi;29145215;2;Corrupted older annotation;subgroup_table;Row;3;"measures;arms";NA
Avi;29145215;2;Corrupted older annotation;subgroup_table;Col;1;outcomes;NA
Avi;29145215;3;NA;subgroup_table;Row;1;subgroup_name;NA
Avi;29145215;3;NA;subgroup_table;Row;2;"subgroup_name;p-interaction";NA
Avi;29145215;3;NA;subgroup_table;Row;3;"arms;measures";NA
Avi;29145215;3;NA;subgroup_table;Col;1;outcomes;NA
Avi;29143919;1;NA;baseline_table;Row;1;arms;NA
Avi;29143919;1;NA;baseline_table;Row;2;subgroup_name;NA
Avi;29143919;1;NA;baseline_table;Col;1;baseline_level_1;NA
Avi;29143919;2;Corrupted older annotation;baseline_table;Row;1;arms;NA
Avi;29143919;2;Corrupted older annotation;baseline_table;Row;2;subgroup_name;NA
Avi;29143919;2;Corrupted older annotation;baseline_table;Col;1;"outcomes;other";NA
Avi;29132880;1;NA;baseline_table;Row;1;arms;NA
Avi;29132880;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29132880;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29132880;2;NA;subgroup_table;Row;1;"arms;p-interaction;measures";NA
Avi;29132880;2;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;29132880;2;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;29132879;1;NA;baseline_table;Row;1;arms;NA
Avi;29132879;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29132879;1;NA;baseline_table;Col;1;baseline_level_2;indented
Avi;29132879;2;NA;subgroup_table;Row;1;"arms;p-interaction";NA
Avi;29132879;2;NA;subgroup_table;Col;1;subgroup_name;empty_row_with_p_value
Avi;29132879;2;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;29103664;1;NA;baseline_table;Row;1;arms;NA
Avi;29103664;1;NA;baseline_table;Row;2;arms;NA
Avi;29103664;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29103664;1;NA;baseline_table;Col;1;baseline_level_2;indented
Avi;29084736;1;NA;baseline_table;Row;1;arms;NA
Avi;29084736;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29084736;1;NA;baseline_table;Col;1;baseline_level_2;indented
Avi;29084736;2;NA;subgroup_table;Row;1;"arms;measures;p-interaction";NA
Avi;29084736;2;NA;subgroup_table;Row;2;measures;NA
Avi;29084736;2;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;29084736;2;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;29073947;1;Corrupted older annotation;baseline_table;Row;1;"arms;other";NA
Avi;29073947;1;Corrupted older annotation;baseline_table;Col;1;baseline_level_1;NA
Avi;29073947;1;Corrupted older annotation;baseline_table;Col;1;baseline_level_2;indented
Avi;29028981 & Supplementary Append;1;NA;baseline_table;Row;1;other;NA
Avi;29028981 & Supplementary Append;1;NA;baseline_table;Row;2;arms;NA
Avi;29028981 & Supplementary Append;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Avi;29028981 & Supplementary Append;1;NA;baseline_table;Col;1;baseline_level_2;NA
Avi;29028981 & Supplementary Append;2;NA;subgroup_table;Row;1;other;NA
Avi;29028981 & Supplementary Append;2;NA;subgroup_table;Row;2;arms;NA
Avi;29028981 & Supplementary Append;2;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;29028981 & Supplementary Append;2;NA;subgroup_table;Col;1;subgroup_level;indented
Avi;29028981 & Supplementary Append;3;NA;subgroup_table;Row;1;other;NA
Avi;29028981 & Supplementary Append;3;NA;subgroup_table;Row;2;arms;NA
Avi;29028981 & Supplementary Append;3;NA;subgroup_table;Row;3;outcomes;NA
Avi;29028981 & Supplementary Append;3;NA;subgroup_table;Col;1;baseline_level_1;empty_row
Avi;29028981 & Supplementary Append;3;NA;subgroup_table;Col;1;baseline_level_2;indented
Avi;28975241;1;NA;baseline_table;Row;1;measures;NA
Avi;28975241;1;NA;baseline_table;Row;2;arms;NA
Avi;28975241;1;NA;baseline_table;Col;1;subgroup_name;empty_row
Avi;28975241;1;NA;baseline_table;Col;1;subgroup_level;NA
Avi;28975241;2;NA;subgroup_table;Row;1;"arms;measures";NA
Avi;28975241;2;NA;subgroup_table;Row;2;measures;NA
Avi;28975241;2;NA;subgroup_table;Col;1;subgroup_name;empty_row
Avi;28975241;2;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;28972004;1;NA;subgroup_table;Row;1;"outcomes;other";NA
Avi;28972004;1;NA;subgroup_table;Col;1;subgroup_name;NA
Avi;28972004;1;NA;subgroup_table;Col;1;subgroup_level;indented
Avi;28972004;2;NA;subgroup_table;Row;1;"arms;other;p-interaction";NA
Avi;28972004;2;NA;subgroup_table;Col;1;subgroup_level;NA
Avi;28972004;3;NA;subgroup_table;Row;1;"subgroup_name;p-interaction";NA
Avi;28972004;3;NA;subgroup_table;Row;2;"arms;measures";NA
Avi;28972004;3;NA;subgroup_table;Col;1;outcomes;NA
Katherine;28948656;1;NA;baseline_table;Row;1;outcomes;bold
Katherine;28948656;1;NA;baseline_table;Row;2;arms;bold
Katherine;28948656;1;NA;baseline_table;Col;1;baseline_level_1;empty_row
Katherine;28948656;1;NA;baseline_table;Col;1;baseline_level_2;indented
Lili;28948656;2;NA;subgroup_table;Row;1;"arms;measures;p-interaction";bold
