Text,CUIS
,
age $nmbr$ yr,C0001779;C0439234
characteristic,C1521970
$nmbr$,
placebo n $nmbr$,C0032042;C1696465;C1706408
race white,C0007457;C0043157;C0220938
gemfibrozil n $nmbr$,C0017245
black,C0005680;C0027567;C0085756;C0439541
age yr,C0001779;C0439234
other,
$nmbr$ $nmbr$,
education $nmbr$ yr,C0013621;C0439234;C0013622;C0013658;C0039401
age $nmbr$ yr,C0001779;C0439234
current smoker,C3173209;C3241966
$nmbr$,
alcohol consumption,C0001948
race white,C0007457;C0043157;C0220938
$nmbr$ $nmbr$ drinks dav,C0452428
black,C0005680;C0027567;C0085756;C0439541
$nmbr$ drinks dav,C0452428
other,
hypertension,C0020538;C1963138
education $nmbr$ yr,C0013621;C0439234;C0013622;C0013658;C0039401
diabetes,C0011847;C0011849
current smoker,C3173209;C3241966
prior myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
alcohol consumption,C0001948
time since most recent myocardial,C0040223;C3541383
$nmbr$ $nmbr$ drinks dav,C0452428
infarction yr history of congestive heart failure,C0455531
$nmbr$ drinks dav,C0452428
cabg or ptca,C0010055;C2936173
hypertension,C0020538;C1963138
medication use aspirin,C0240320;C0004057
diabetes,C0011847;C0011849
nitratesf,
prior myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
calcium channel blockers,C0006684;C2757014
time since most recent myocardial,C0040223;C3541383
ace inhibitors,C0003015
infarction yr history of congestive heart failure,C0455531
beta blockers,C0001645
cabg or ptca,C0010055;C2936173
any antianginal drug,C0013227;C1254351
medication use aspirin,C0240320;C0004057
body mass index,C0005893;C0578022;C1305855
nitratesf,
waist to hip ratio,C0205682
calcium channel blockers,C0006684;C2757014
$nmbr$ $nmbr$ $nmbr$ $nmbr$,
ace inhibitors,C0003015
blood pressure mm hg systolic,C0005823;C0039155;C1271104;C1272641
beta blockers,C0001645
diastolic,C0012000
any antianginal drug,C0013227;C1254351
plasma lipids mg dl $nmbr$ total cholesterol mean,C0444504;C2347634;C2348143
body mass index,C0005893;C0578022;C1305855
interquartile range,C1711350
waist to hip ratio,C0205682
ldl cholesterol mean,C0444504;C2347634;C2348143
$nmbr$ $nmbr$ $nmbr$ $nmbr$,
hdl cholesterol mean,C0444504;C2347634;C2348143
blood pressure mm hg systolic,C0005823;C0039155;C1271104;C1272641
triglycerides mean,C0444504;C2347634;C2348143
diastolic,C0012000
plasma lipids mg dl $nmbr$ total cholesterol mean,C0444504;C2347634;C2348143
plus minus values are means sd cabg denotes coronary artery by pass graft ptca percutaneous transluminal coronary angioplasty and ace angiotensin converting enzyme hypertension and diabetes were de fined by clinical history a more complete list of base line characteristics is given in rubins et al $nmbr$ nitrates includes all preparations except as needed nitroglycerin any antianginal drug includes any nitrate as defined above calcium channel blocker or beta blocker the body mass index is the weight in kilograms divided by the square of the height in meters to convert values for cholesterol to millimoles per liter multiply by $nmbr$ $nmbr$ to convert values for triglycerides to millimoles per liter multiply by $nmbr$ $nmbr$,C0042295;C1704970;C0010055;C0190211;C0920394;C0011847;C0011849;C0011198;C0017480;C3541240;C0205232;C0687757;C0745732;C3272378;C0040028;C0028125;C0332257;C1552866;C2700399;C1521827;C3812761;C0013227;C1254351;C0699857;C3848573;C0006684;C3536851;C4521885;C0001645;C0005893;C0578022;C1305855;C0005910;C0043100;C1305866;C1705104;C0332849;C0205120;C1552595;C0441074;C0008377;C0439190;C0475211;C1719797;C2911648;C0041004;C1532563
interquartile range,C1711350
nct $nmbr$,
ldl cholesterol mean,C0444504;C2347634;C2348143
characteristics,C1521970
hdl cholesterol mean,C0444504;C2347634;C2348143
