CUI,matchedText,preferred,hasMSH
C1521970,Characteristic,Characteristics,false
C0032042,Placebo,Placebos,true
C1696465,PLACEBO,placebo,false
C1706408,PLACEBO,Placebo Control,false
C0007457,WHITE,Caucasoid Race,true
C0043157,WHITE,Caucasians,true
C0220938,WHITE,White color,false
C0017245,Gemfibrosil,Gemfibrozil,true
C0005680,Black,Black race,true
C0027567,Black,African race,true
C0085756,BLACK,African American,true
C0439541,Black,Black color,false
C0001779,AGE,Age,false
C0439234,yr,year,false
C0013621,Education,Knowledge acquisition,true
C0439234,yr,year,false
C0013658,"Education, NOS",Educational Status,true
C0013622,education,Educational aspects,true
C0039401,Education,Educational process of instructing,true
C0001779,AGE,Age,false
C0439234,yr,year,false
C3173209,Current smoker,Current smoker:Finding:Point in time:^Patient:Ordinal,false
C3241966,Current Smoker,Current Smoker,false
C0001948,ALCOHOL CONSUMPTION,Alcohol consumption,true
C0007457,WHITE,Caucasoid Race,true
C0043157,WHITE,Caucasians,true
C0220938,WHITE,White color,false
C0452428,Drinks,Drink (dietary substance),false
C0005680,Black,Black race,true
C0027567,Black,African race,true
C0085756,BLACK,African American,true
C0439541,Black,Black color,false
C0452428,Drinks,Drink (dietary substance),false
C0020538,HYPERTENSION,Hypertensive disease,true
C1963138,Hypertension,"Hypertension, CTCAE",false
C0013621,Education,Knowledge acquisition,true
C0439234,yr,year,false
C0013622,education,Educational aspects,true
C0013658,"Education, NOS",Educational Status,true
C0039401,Education,Educational process of instructing,true
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C3173209,Current smoker,Current smoker:Finding:Point in time:^Patient:Ordinal,false
C3241966,Current Smoker,Current Smoker,false
C0027051,"Infarction, Myocardial",Myocardial Infarction,true
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false
C0001948,ALCOHOL CONSUMPTION,Alcohol consumption,true
C0040223,TIME,Time,true
C3541383,Time,Time (foundation metadata concept),false
C0452428,Drinks,Drink (dietary substance),false
C0455531,History of - heart failure,H/O: heart failure,false
C0452428,Drinks,Drink (dietary substance),false
C0010055,CABG,Coronary Artery Bypass Surgery,true
C2936173,PTCA,Percutaneous Transluminal Coronary Angioplasty,true
C0020538,HYPERTENSION,Hypertensive disease,true
C1963138,Hypertension,"Hypertension, CTCAE",false
C0004057,ASPIRIN,Aspirin,true
C0240320,MEDICATION USE,medication use,false
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0027051,"Infarction, Myocardial",Myocardial Infarction,true
C0428953,MYOCARDIAL INFARCTION,Electrocardiogram: myocardial infarction (finding),false
C2926063,Myocardial infarction,Myocardial infarction:Finding:Point in time:^Patient:Ordinal,false
C3810814,Myocardial Infarction,Myocardial Infarction ECG Assessment,false
C4552959,Myocardial infarction,"Myocardial Infarction, CTCAE",false
C0006684,CALCIUM CHANNEL BLOCKERS,Calcium Channel Blockers,true
C2757014,Calcium Channel Blockers,Calcium Channel Antagonists [MoA],false
C0040223,TIME,Time,true
C3541383,Time,Time (foundation metadata concept),false
C0003015,ACE INHIBITORS,Angiotensin-Converting Enzyme Inhibitors,true
C0455531,History of - heart failure,H/O: heart failure,false
C0001645,Beta blockers,Adrenergic beta-Antagonists,true
C0010055,CABG,Coronary Artery Bypass Surgery,true
C2936173,PTCA,Percutaneous Transluminal Coronary Angioplasty,true
C0013227,Drug,Pharmaceutical Preparations,true
C1254351,DRUG,Pharmacologic Substance,false
C0240320,MEDICATION USE,medication use,false
C0004057,ASPIRIN,Aspirin,true
C0005893,Body mass index,Body mass index procedure,false
C0578022,Body Mass Index,Finding of body mass index,false
C1305855,BODY MASS INDEX,Body mass index,true
C0205682,Waist to Hip Ratio,Waist-Hip Ratio,true
C0006684,CALCIUM CHANNEL BLOCKERS,Calcium Channel Blockers,true
C2757014,Calcium Channel Blockers,Calcium Channel Antagonists [MoA],false
C0003015,ACE INHIBITORS,Angiotensin-Converting Enzyme Inhibitors,true
C0005823,BLOOD PRESSURE,Blood Pressure,true
C1271104,Blood Pressure,Blood pressure finding,false
C0039155,Systolic,Systole,true
C1272641,Blood pressure,Systemic arterial pressure,true
C0001645,Beta blockers,Adrenergic beta-Antagonists,true
C0012000,Diastolic,Diastole,true
C0013227,Drug,Pharmaceutical Preparations,true
C1254351,DRUG,Pharmacologic Substance,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0005893,Body mass index,Body mass index procedure,false
C0578022,Body Mass Index,Finding of body mass index,false
C1305855,BODY MASS INDEX,Body mass index,true
C1711350,Interquartile Range,Interquartile Range,false
C0205682,Waist to Hip Ratio,Waist-Hip Ratio,true
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0005823,BLOOD PRESSURE,Blood Pressure,true
C0039155,Systolic,Systole,true
C1271104,Blood Pressure,Blood pressure finding,false
C1272641,Blood pressure,Systemic arterial pressure,true
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0012000,Diastolic,Diastole,true
C0444504,Mean,Statistical mean,false
C2347634,Mean,Population Mean,false
C2348143,Mean,Sample Mean,false
C0042295,Values,Values,false
C0010055,CABG,Coronary Artery Bypass Surgery,true
C1704970,Means,Means,false
C0190211,coronary artery angioplasty,Coronary angioplasty,false
C0920394,angiotensin hypertension,angiotensin hypertension,false
C0011847,Diabetes,Diabetes,false
C0011849,Diabetes,Diabetes Mellitus,true
C0011198,DE,Delaware,true
C0017480,DE,Germany,true
C3541240,DE,Device Events Domain,false
C0205232,Fine,Fine - adjective,false
